time,channel_1,channel_2,channel_3,channel_4,channel_5,channel_6,channel_7,channel_8,orientation_x,orientation_y,orientation_z,orientation_w,acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z
0.005,-4.0,7.0,4.0,4.0,4.0,3.0,-1.0,-9.0,-0.00152587890625,-0.04388427734375,0.993408203125,-0.10577392578125,-0.00341796875,-0.08447265625,0.99951171875,-1.4375,1.8125,0.0
0.01,1.0,20.0,4.0,0.0,2.0,-1.0,-1.0,-1.0,-0.00177001953125,-0.04461669921875,0.993408203125,-0.10528564453125,-0.0087890625,-0.08984375,0.98876953125,-1.375,0.3125,-0.25
0.015,-2.0,6.0,6.0,2.0,3.0,5.0,1.0,1.0,-0.00189208984375,-0.045654296875,0.9932861328125,-0.106201171875,-0.005859375,-0.091796875,1.00244140625,-1.1875,0.25,2.8125
0.02,1.0,17.0,5.0,2.0,4.0,5.0,-1.0,3.0,-0.00372314453125,-0.0433349609375,0.992919921875,-0.11004638671875,-0.01318359375,-0.09326171875,1.0078125,4.6875,1.5,3.5625
0.025,-11.0,-5.0,12.0,-1.0,0.0,-3.0,-4.0,-6.0,-0.00604248046875,-0.0428466796875,0.99285888671875,-0.111083984375,-0.01611328125,-0.0771484375,0.99853515625,-3.125,2.75,-0.75
0.03,-3.0,7.0,5.0,1.0,2.0,2.0,1.0,-1.0,-0.00726318359375,-0.04290771484375,0.9927978515625,-0.11163330078125,-0.02001953125,-0.0966796875,0.99755859375,0.8125,0.625,1.375
0.035,2.0,-1.0,0.0,3.0,29.0,21.0,7.0,3.0,-0.00836181640625,-0.04248046875,0.99261474609375,-0.1129150390625,-0.0166015625,-0.0693359375,1.00732421875,-0.0625,3.125,1.4375
0.04,-2.0,-12.0,-4.0,-1.0,-11.0,-4.0,-8.0,-5.0,-0.0137939453125,-0.03643798828125,0.9931640625,-0.10968017578125,-0.05517578125,-0.0087890625,1.025390625,3.5625,5.4375,-4.9375
0.045,-1.0,-8.0,-12.0,-1.0,18.0,18.0,-9.0,27.0,-0.02410888671875,-0.03558349609375,0.99420166015625,-0.09820556640625,-0.08251953125,-0.05712890625,1.005859375,7.625,6.5625,-8.3125
0.05,-5.0,-10.0,-11.0,-1.0,0.0,15.0,13.0,-5.0,-0.0318603515625,-0.035400390625,0.99395751953125,-0.09881591796875,-0.0498046875,-0.146484375,0.98779296875,20.0,9.125,10.625
0.055,-15.0,4.0,7.0,13.0,37.0,15.0,8.0,14.0,-0.04107666015625,-0.023681640625,0.9925537109375,-0.11199951171875,-0.0576171875,-0.076171875,0.97802734375,10.6875,5.5,22.0625
