timestamp,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
15.125,0,0,14,8,1,1,-1,0
15.13,-2,-2,-5,-3,-4,-3,-1,-2
15.135,0,-3,-3,-2,1,-2,0,-2
15.14,1,-1,-2,-4,-4,-3,0,-1
15.145,-4,-3,-7,-7,-1,-2,-1,-1
15.15,0,2,13,7,-2,-3,-2,-2
15.155,0,1,7,2,-1,-1,-3,-2
15.16,3,0,0,-1,1,0,1,1
15.165,0,-2,-7,-8,-1,-1,-1,-1
15.17,-1,-4,-5,-2,-1,-2,-2,0
15.175,-1,-2,-2,-1,1,1,0,1
15.18,-2,-2,1,1,-1,-2,-3,-1
15.185,1,2,11,8,2,2,3,1
15.19,-1,-2,-5,-3,-2,1,-2,-1
15.195,-2,0,-3,1,0,-1,-2,-1
15.2,-2,-2,2,-3,-4,-3,-2,-1
15.205,-1,-2,-8,-3,0,-1,0,-2
15.21,0,-2,5,-1,-1,-2,-1,-1
15.215,0,-2,-2,-2,-2,0,-2,-1
15.22,-1,0,0,-1,-1,-3,-2,-3
15.225,1,2,12,10,-1,2,2,0
15.23,-3,-4,-18,-14,0,0,1,1
15.235,-1,-2,9,2,2,-3,-2,-3
15.24,-2,-1,-8,-3,-1,-1,-1,-1
15.245,-2,0,3,2,-1,-3,-2,-3
15.25,0,2,11,9,-1,-1,-1,-2
15.255,-3,-1,-17,-5,-3,-3,0,-2
15.26,-2,-1,4,-2,-2,0,0,-1
15.265,-1,-2,-11,-5,0,0,-3,-1
15.27,-1,-1,2,2,0,1,1,0
15.275,-2,-1,7,-1,-2,-1,1,-1
15.28,-1,-3,-9,-1,-1,0,-3,-2
15.285,-2,-2,-1,-3,-1,-2,-2,-1
15.29,-1,-2,-3,0,1,-1,-1,-2
15.295,1,4,22,6,-3,-3,-2,-2
15.3,-3,-2,-14,-1,1,2,2,0
15.305,-2,-2,0,-4,-2,1,-1,-2
15.31,0,0,0,2,-3,-3,-3,-3
15.315,0,-2,-8,-4,0,-1,0,-1
15.32,0,1,7,3,1,1,2,-1
15.325,-1,-1,-15,-7,0,-2,-2,-3
15.33,-1,1,13,2,-3,-1,0,-1
15.335,-2,-2,-10,0,0,-2,-3,-2
15.34,-1,-1,9,-4,-2,-1,-4,0
15.345,-1,-3,-10,-4,-3,-3,0,0
15.35,-3,-2,0,-7,-1,-1,0,-1
15.355,-2,-1,-3,-5,-4,-1,-2,-2
15.36,0,-1,4,4,0,2,-2,-3
15.365,0,0,2,0,-1,-3,-2,-2
15.37,0,-3,-3,-3,-1,-4,-1,-1
15.375,-1,-1,-3,-2,0,-2,-1,0
15.38,-1,-1,-1,2,-2,-3,0,1
15.385,-1,0,-2,-3,-4,1,0,1
15.39,1,1,1,3,-1,-2,-1,-1
15.395,-3,-4,-19,-14,-2,-1,-2,-1
15.4,-1,1,0,2,0,-3,-1,-2
15.405,-2,-1,4,-5,-1,-2,-2,-1
15.41,-1,-1,-9,0,-2,-1,-1,-2
15.415,1,1,8,5,-1,2,1,-2
15.42,-1,-3,-8,-6,-2,-1,-2,-1
15.425,-1,-2,3,3,0,0,0,1
15.43,-2,0,-6,5,0,-1,-1,0
15.435,-1,-1,10,-4,-7,-4,-2,-2
15.44,-5,-3,-11,-7,1,2,2,-7
15.445,3,1,22,16,4,-2,0,3
15.45,0,-1,-20,-9,-2,2,0,1
15.455,-1,1,6,1,1,-1,1,-1
15.46,2,1,-1,5,-2,-1,-3,5
15.465,-2,-2,4,-15,-8,-3,-2,-2
15.47,-5,-8,9,3,-5,-7,-5,-5
15.475,-1,3,11,13,5,4,1,-2
15.48,-3,-3,1,-3,-2,-1,-1,-3
15.485,2,5,20,25,3,-1,-1,1
15.49,0,-2,-12,-20,-3,0,-1,-1
15.495,-4,-6,-22,-14,-4,-3,-2,-3
15.5,4,4,8,7,4,0,1,2
15.505,1,0,-12,17,1,1,-1,-1
15.51,-9,-13,-30,-46,-12,-6,-4,-6
15.515,0,0,3,5,-3,-3,-1,-1
15.52,-3,-2,5,3,-2,-1,-3,-1
15.525,5,9,32,21,9,9,5,4
15.53,1,4,31,6,5,-3,-1,1
15.535,-5,-4,-81,-23,-3,0,0,0
15.54,-5,-11,-36,-37,-10,-6,-6,-3
15.545,-3,3,44,27,-2,-4,-4,-4
15.55,6,30,15,-3,2,4,2,3
15.555,-6,-27,-41,-4,0,2,1,-3
15.56,6,17,51,41,5,1,1,0
15.565,-17,-34,-101,-86,-24,-16,-9,-11
15.57,7,16,34,13,8,6,3,4
15.575,2,7,16,-11,-6,-8,-4,0
15.58,4,8,17,10,5,2,2,1
15.585,-3,-6,-15,-2,0,0,-1,-2
15.59,-2,1,19,23,0,0,-2,-1
15.595,-2,-6,15,5,-3,-1,-3,-2
15.6,-4,-8,-8,-17,-3,1,0,0
15.605,1,-1,11,-2,-1,-2,-1,1
15.61,-4,-8,-9,8,2,1,1,-3
15.615,11,26,55,20,16,8,6,7
15.62,-9,-17,-43,-11,-20,-9,-5,-6
15.625,-4,-1,-11,-16,-5,-4,-6,-7
15.63,2,-2,6,11,1,0,-1,1
15.635,5,11,28,1,8,5,3,2
15.64,5,10,58,15,8,1,1,2
15.645,-4,-7,-25,-32,-4,-2,-2,-2
15.65,-17,-34,-46,-24,-20,-13,-8,-10
15.655,3,12,8,7,-1,0,-2,2
15.66,3,-1,-22,-5,6,5,2,2
15.665,7,19,36,41,12,5,2,4
15.67,-9,-25,-75,-63,-21,-12,-7,-8
15.675,-5,-8,25,29,-4,-4,-3,-4
15.68,-5,-2,-35,-36,-2,-1,-2,-2
15.685,8,14,82,66,15,8,6,5
15.69,0,6,-32,-6,-7,-5,-5,-3
15.695,5,7,38,38,10,7,4,3
15.7,-11,-29,16,70,6,-5,-7,-8
15.705,0,-2,-85,-84,-18,-4,-1,1
15.71,-4,2,127,81,3,-2,-3,-3
15.715,-25,-53,-120,-112,-45,-25,-17,-18
15.72,0,-21,15,30,12,4,1,1
15.725,11,28,60,-64,5,7,5,7
15.73,6,9,-44,2,12,7,4,3
15.735,2,7,84,73,9,1,1,-1
15.74,-4,0,-51,51,5,3,0,-2
15.745,4,9,57,-7,-2,0,-1,2
15.75,0,-6,-8,8,-3,-3,-1,-1
15.755,-2,3,74,106,14,2,0,-2
15.76,-23,-19,-55,-117,-41,-25,-15,-15
15.765,-7,-17,64,104,8,-5,-5,-5
15.77,16,36,64,-44,4,7,7,9
15.775,5,25,-22,-50,12,7,3,4
15.78,-9,10,93,56,-3,2,-2,-5
15.785,-4,8,-7,-84,-18,-15,-6,-6
15.79,0,22,2,15,3,-2,-2,-2
15.795,8,22,-14,-80,-1,4,3,5
15.8,36,46,18,-24,41,35,25,23
15.805,-27,-46,-80,-57,-35,-20,-14,-17
15.81,9,23,32,75,17,11,5,4
15.815,1,2,-84,-113,-30,-16,-7,-2
