timestamp,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
29.375,-5,-2,-2,-3,-4,-2,-10,-27
29.38,1,-2,-1,-5,-4,-2,-5,-6
29.385,-2,0,-1,-3,-1,-1,0,-11
29.39,-4,-4,0,2,0,-5,-5,-1
29.395,-1,-2,-1,2,1,-2,-3,-6
29.4,-6,-2,-2,-9,-3,-5,-30,-77
29.405,2,-1,-1,-4,-2,-2,1,22
29.41,-2,-2,-1,6,-1,0,3,-2
29.415,-3,-1,2,1,2,1,-3,-16
29.42,-1,-2,0,-2,-2,-3,-6,-42
29.425,1,-1,0,-8,-2,-1,1,3
29.43,-7,-6,-10,6,-6,-4,-10,-6
29.435,0,0,-2,0,3,0,2,25
29.44,2,1,0,7,2,2,10,36
29.445,-1,-1,-1,-6,0,0,2,9
29.45,0,0,-2,5,1,-1,-4,36
29.455,-2,-2,2,1,-1,-1,-2,4
29.46,2,-2,-3,-3,-1,2,5,8
29.465,-3,-3,0,1,0,-3,-4,25
29.47,4,3,0,-2,-1,1,6,31
29.475,-4,-3,-1,1,-3,-4,-6,-22
29.48,-1,-1,-1,-3,-1,-3,-4,5
29.485,2,0,0,-1,0,1,6,25
29.49,0,0,4,-2,-2,0,0,-18
29.495,-3,-5,-6,1,1,-5,-7,4
29.5,-4,0,-1,-7,-5,-4,-13,-35
29.505,-1,-1,2,2,0,-2,-2,-24
29.51,-3,0,-1,-4,0,-1,-5,-19
29.515,-2,1,1,-4,4,4,-5,-18
29.52,-2,-2,-3,12,-11,-6,9,19
29.525,-2,-4,-1,-5,-1,-5,-7,-20
29.53,1,2,2,-2,-1,-2,-4,-17
29.535,-1,-2,0,0,1,-1,-1,2
29.54,-1,0,-4,0,5,5,3,16
29.545,-1,-1,-1,-4,-2,2,-3,-21
29.55,0,0,-1,2,0,0,2,-3
29.555,0,-1,1,11,-5,-3,-5,-1
29.56,-1,-5,-10,-40,-5,-2,2,9
29.565,1,0,2,6,-3,-2,-2,-16
29.57,-8,-4,-2,0,3,-3,-9,17
29.575,0,3,-1,-2,-1,-1,0,3
29.58,3,2,10,23,0,-2,2,12
29.585,-3,-4,-9,-15,-4,-1,-1,3
29.59,-2,-4,-1,-3,-2,-3,-1,-15
29.595,0,-2,-3,-2,1,2,1,1
29.6,-3,0,-2,-2,2,1,-1,-3
29.605,-1,-1,-1,-5,-3,-7,2,11
29.61,-6,-5,-6,2,-3,-3,-4,-15
29.615,0,-1,-3,-1,1,1,-3,-10
29.62,4,3,5,0,-2,0,3,6
29.625,1,2,1,10,2,3,0,1
29.63,3,0,0,-4,-2,0,1,-9
29.635,-2,-1,-5,-9,-3,-1,-2,13
29.64,-1,-4,-2,1,0,2,0,-3
29.645,-6,-2,0,2,-4,-4,-4,-4
29.65,-1,-2,-2,3,-1,-3,-5,-14
29.655,-4,-5,3,6,-4,-2,0,1
29.66,0,-1,-3,-4,1,1,2,2
29.665,1,1,0,2,1,2,1,6
29.67,-1,-3,-2,-5,-2,0,2,-5
29.675,-1,-1,-3,-1,-2,-2,-1,-3
