timestamp,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
35.875,1,1,5,-10,4,1,-1,0
35.88,-3,-3,-6,22,-9,-8,-4,-3
35.885,0,-2,2,-1,-5,-1,-2,-1
35.89,1,-1,-2,3,0,1,0,-1
35.895,-1,-2,-4,-2,1,-1,1,-1
35.9,0,-1,1,-4,1,2,0,0
35.905,-2,-1,-2,0,3,-2,0,-1
35.91,-2,-2,0,-1,-3,-3,-2,-2
35.915,-1,0,-1,2,3,0,0,-2
35.92,0,1,0,-15,2,0,0,1
35.925,-4,-2,-7,-1,-10,-4,-3,-1
35.93,-2,-3,-2,-1,-4,-2,-1,1
35.935,-1,-2,-6,-5,-1,0,-2,-1
35.94,-2,-1,-6,-1,-4,-5,-1,-4
35.945,2,2,5,-2,2,0,-1,-1
35.95,-1,0,1,-5,-2,1,0,0
35.955,-3,-3,-4,2,0,-4,-3,-1
35.96,0,-1,0,-3,-4,-1,-1,-1
35.965,-1,-2,0,-7,1,-2,-2,-2
35.97,-3,-4,-5,3,-3,-3,-3,-2
35.975,-3,-1,0,-20,-4,-1,0,0
35.98,0,-3,-2,-5,-1,0,-1,-2
35.985,-1,-2,0,-6,-1,-1,1,0
35.99,1,-1,1,10,-3,-3,1,0
35.995,-3,-4,-3,-4,-4,-3,-1,-2
36,-1,0,-2,-3,-3,-1,-1,-2
36.005,-1,-1,-3,-16,-5,-1,-1,-1
36.01,3,0,2,-9,5,1,0,-1
36.015,0,-1,0,17,-3,-2,-1,-1
36.02,-2,-2,-3,18,4,-1,-1,-2
36.025,1,1,1,8,1,1,-1,0
36.03,-1,1,-1,-14,2,3,3,0
36.035,-3,-3,-7,-13,-4,-2,-2,-2
36.04,1,0,0,-2,0,-1,0,1
36.045,1,0,1,6,2,-1,0,2
36.05,-1,-1,2,4,3,-1,-2,-3
36.055,1,-1,0,9,-1,0,0,-1
36.06,-3,0,0,-3,-1,0,-1,-1
36.065,-3,0,1,-3,-3,-1,-2,-2
36.07,-1,0,0,12,-5,-1,0,0
36.075,-1,-3,-4,-10,2,-1,0,-2
36.08,-3,-1,0,-4,-1,-1,-3,-1
36.085,0,-2,1,-2,2,-1,-1,-1
36.09,-3,-1,-4,6,-3,-2,-3,-1
36.095,-1,0,1,7,-1,1,-1,-2
