timestamp,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
0.005,-2,-1,-2,0,-2,-1,-1,-3
0.01,0,-1,-1,-1,-1,-1,-2,-1
0.015,0,0,-2,0,0,0,-2,0
0.02,-1,-2,-2,-4,2,-1,0,1
0.025,1,0,-1,-1,1,-2,-1,1
0.03,-1,0,-1,0,0,-2,0,-1
0.035,-1,0,-3,0,-3,-1,-1,-2
0.04,0,-2,-2,0,-2,0,-2,-4
0.045,-1,-1,0,-1,0,0,-1,-2
0.05,-3,-1,-1,0,0,-2,-1,0
0.055,-1,-1,0,-3,-4,-2,-2,1
0.06,0,-1,-2,-2,-1,0,-1,-1
0.065,-1,-2,-1,-3,-2,0,-1,-1
0.07,-2,1,-1,-1,-1,-1,-1,0
0.075,-3,-2,-2,0,0,-1,0,-1
0.08,0,1,-1,1,0,-1,0,0
0.085,-2,-1,-1,-1,-1,-2,-1,-2
0.09,0,-2,-2,-1,-1,-1,0,-1
0.095,0,0,-1,0,0,0,-3,-2
0.1,0,-1,-2,-1,0,-4,0,-1
0.105,1,-2,0,-2,0,1,0,0
0.11,-2,-1,-1,-1,-1,-2,-2,-1
0.115,-2,0,-1,-1,-1,-1,1,0
0.12,-2,-2,-2,0,-3,-1,-2,1
0.125,-3,-3,-1,0,0,-3,-2,-2
0.13,-1,-1,-1,-1,0,-1,0,-1
0.135,-1,-1,0,-1,-2,-1,0,-3
0.14,-3,0,0,-2,-1,-1,-2,-4
0.145,0,-2,-1,-1,-2,-1,-2,1
0.15,-1,1,-2,-1,-1,0,-2,1
0.155,-2,-2,-2,-2,-2,1,-3,2
0.16,1,-3,-1,-1,0,-2,1,-3
0.165,-2,-2,-2,-2,1,0,0,-3
0.17,-1,-1,-1,0,-1,-1,1,-3
0.175,-1,0,-1,-1,-2,-1,-1,2
0.18,-1,-1,0,0,-1,-1,-3,-1
0.185,1,-1,-1,-1,-2,-1,-2,-2
0.19,-2,-1,-1,-1,-1,-1,0,-1
0.195,0,-2,-1,-2,0,-2,0,-1
0.2,-1,-2,-2,0,-1,0,-1,-2
0.205,-2,-1,0,0,-3,-1,-1,-1
0.21,-2,-1,-2,-2,-1,0,-2,-3
0.215,-1,0,-1,1,-2,-1,-3,-2
0.22,-3,-1,-1,1,-1,-2,0,1
0.225,-1,-2,-3,-3,0,-4,-2,0
0.23,-1,-2,0,-1,-1,-1,-3,1
0.235,-2,-1,-2,-1,-1,-1,0,1
0.24,-1,0,0,-1,-1,-1,-3,-3
0.245,-2,0,0,1,-1,0,-2,0
0.25,-2,-1,-1,-2,-2,-3,-2,-2
0.255,0,-1,-1,0,0,-1,-4,-3
0.26,-2,-1,-3,-1,-1,-2,-1,-1
0.265,0,-1,-1,-2,0,0,0,1
0.27,1,-1,-1,-3,-1,-3,0,2
0.275,-1,-1,1,0,-1,-1,-1,-3
0.28,-1,0,-2,-1,-3,-1,-1,-3
0.285,1,0,-1,-1,0,0,-1,-1
0.29,0,-1,-2,1,0,-1,-1,-1
0.295,-1,0,1,-2,-1,-1,-2,-2
0.3,-2,-1,0,-3,-1,1,-1,3
0.305,-1,-1,-1,0,-1,-1,1,0
0.31,0,-2,0,-1,-2,-2,-1,-2
0.315,-2,-3,-2,-2,-2,-1,0,-2
0.32,0,0,-1,-1,-2,-1,0,-2
0.325,-2,-1,-1,-1,-2,-2,-3,-2
0.33,1,-1,-1,-1,-2,-1,-2,-2
0.335,0,0,-2,-1,-2,-2,0,0
0.34,0,-2,-2,-3,0,-2,0,0
0.345,0,0,0,-1,0,-1,-2,-2
0.35,-2,-3,-1,-1,-1,0,1,-1
0.355,-2,1,-1,0,1,-2,-1,-3
0.36,-2,-1,-1,0,0,0,-1,-1
0.365,-3,0,-2,-2,0,-2,-1,-1
0.37,-1,1,-2,-1,-1,-3,-1,0
0.375,-1,-2,-1,-2,-3,-1,-1,-2
0.38,-2,0,-1,-1,-2,-2,0,-1
0.385,0,-1,-2,-2,-2,-2,0,0
0.39,0,-1,-2,-3,1,-1,-2,0
0.395,-1,0,-2,-1,1,-1,-2,2
0.4,1,0,0,-1,-2,-1,-2,-2
0.405,-3,-3,-1,0,-1,0,-3,-2
0.41,-3,-2,-3,1,-3,0,-2,-1
0.415,-2,-2,-1,-3,0,0,1,-4
0.42,-2,0,0,0,-2,0,-1,-1
0.425,0,-1,-1,-1,0,-1,-1,-2
0.43,-2,-1,-1,-2,1,-1,0,-2
0.435,-1,-1,-1,0,-1,0,0,0
0.44,-1,-1,-1,-1,0,0,-2,0
