timestamp,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
38,-5,-4,-5,-6,-5,-4,-9,-3
38.005,-2,0,0,-4,-5,-4,-2,-10
38.01,-3,-6,-1,-6,-11,0,-2,9
38.015,-2,7,1,5,6,0,3,-8
38.02,-1,-7,3,-5,-2,3,25,13
38.025,-14,-18,-6,2,8,6,-6,-7
38.03,-3,0,-1,-10,-8,-13,-22,-27
38.035,0,6,8,2,-7,0,2,1
38.04,1,-3,-10,9,4,1,8,8
38.045,5,5,10,5,2,16,23,8
38.05,-5,1,-14,-5,-4,-17,-22,-12
38.055,-2,-1,-14,-12,-3,-6,0,-12
38.06,-2,-1,20,2,-1,-6,-7,-17
38.065,1,5,9,1,-15,0,-3,-6
38.07,5,0,3,1,12,6,9,-1
38.075,-4,13,-12,-1,2,1,5,0
38.08,8,1,2,-1,-1,0,20,20
38.085,-9,-5,0,4,1,-7,-11,-23
38.09,3,2,0,-3,-8,9,36,29
38.095,1,2,4,-1,-5,-9,-51,-32
38.1,-10,7,-15,-7,-2,-6,-5,-4
38.105,-2,-1,-9,-5,-1,4,26,10
38.11,8,-5,-4,-4,-5,-2,30,0
38.115,12,-7,0,-4,0,-12,-68,-46
38.12,-3,-3,-3,2,0,0,-9,-5
38.125,13,8,7,6,7,25,48,43
38.13,1,1,1,2,0,-20,-54,9
38.135,-33,2,13,-9,-5,-18,-18,-27
38.14,6,2,-1,-14,-9,-6,-4,-35
38.145,-13,-18,-24,7,1,-13,-38,-33
38.15,23,26,66,27,10,32,124,79
38.155,-39,-5,-2,-5,-8,-5,-44,-9
38.16,-8,-3,20,11,2,7,28,-21
38.165,6,20,-32,-23,-6,-18,-55,30
38.17,0,-10,7,7,-1,1,-21,-16
38.175,12,-2,3,14,5,3,27,32
38.18,3,5,4,15,6,14,20,17
38.185,9,-3,18,-22,-6,-6,-2,-11
38.19,-10,-3,-15,-11,-5,-6,-25,-14
38.195,2,-13,-13,4,2,13,39,6
38.2,0,-7,-13,-9,-2,-14,-41,40
38.205,-2,-2,-11,5,-2,-9,8,5
38.21,-19,-5,13,-11,-7,-17,-63,-55
38.215,12,-5,-9,4,4,14,45,15
38.22,14,2,3,-12,-1,10,43,22
38.225,-15,-11,0,8,-5,-2,-13,-12
38.23,-3,-6,-16,-13,-8,-4,4,3
38.235,21,3,8,8,5,4,15,19
38.24,3,3,-1,11,1,0,-6,-6
38.245,-16,-6,-7,-11,1,7,7,-6
38.25,-10,-9,-7,-5,1,16,3,-13
38.255,1,-3,-3,-2,-9,-21,-77,-8
38.26,10,2,2,-12,-3,-16,-7,-13
38.265,11,7,10,22,6,9,29,0
38.27,2,-9,-6,24,2,8,33,9
38.275,5,2,-23,-49,-12,5,19,11
38.28,-7,8,-7,-9,-1,6,-16,-29
38.285,-4,0,12,3,1,-13,-27,-9
38.29,-2,-2,1,4,-2,-17,-53,-16
38.295,5,8,6,12,2,10,-21,16
38.3,-5,-5,7,14,4,-5,-3,2
38.305,7,7,2,-5,-1,0,10,-4
38.31,-6,-3,-19,-33,-7,1,0,-4
38.315,-1,3,24,33,13,1,17,6
38.32,-3,-5,3,26,-5,9,5,8
38.325,0,-11,-40,-71,-17,-15,15,-4
38.33,4,6,2,2,-8,3,-1,5
38.335,-3,-4,1,-20,9,3,19,-3
38.34,-6,-2,-1,31,2,0,7,5
38.345,1,0,7,28,8,-3,-21,-11
38.35,-1,6,6,15,-2,6,30,7
38.355,4,4,-13,-16,-8,6,57,9
38.36,-7,-3,8,-26,-5,-13,-83,-19
38.365,-6,-7,12,13,1,-4,-33,-7
38.37,-2,-3,-20,-7,-1,-3,3,2
38.375,-3,-4,13,35,13,1,9,-5
38.38,2,6,-28,-18,0,11,34,15
38.385,2,3,1,-5,-10,0,6,5
38.39,1,10,21,10,10,-9,-23,-6
38.395,-9,-7,-28,-7,-13,-9,-6,-5
38.4,-13,-13,-13,-38,-13,-4,10,4
38.405,-1,5,23,26,10,6,6,1
38.41,-2,0,-1,-28,-9,-5,4,-5
38.415,5,-2,-6,-17,-18,-3,-5,0
38.42,2,-5,10,22,23,-2,1,-3
38.425,2,8,-1,6,-2,-3,1,-3
38.43,-6,-14,-13,-1,0,1,11,4
38.435,-4,2,6,7,-4,-7,-2,-3
38.44,-4,-1,11,-8,-18,1,6,1
38.445,-9,-22,-8,5,6,4,-3,-4
38.45,-4,-5,-12,-13,10,10,35,4
38.455,-6,-9,-21,-9,-9,-21,-51,-14
38.46,12,4,5,13,-1,-1,4,4
38.465,52,28,2,30,21,7,13,11
38.47,59,-3,-25,-22,-29,-8,-9,2
38.475,-80,-28,6,-2,-7,-4,2,-16
38.48,-33,-9,8,-16,-2,-2,2,-6
38.485,-38,-11,9,-9,-2,-3,-6,-8
38.49,76,13,20,21,11,0,-7,9
38.495,3,13,5,2,5,7,14,8
38.5,-34,9,5,19,-1,-6,-8,-8
38.505,-25,-18,-58,-54,3,-4,-3,-8
38.51,-36,-21,-1,-17,-13,-2,-6,1
38.515,26,22,33,8,3,2,12,7
38.52,12,10,-11,1,-1,6,12,5
38.525,4,-2,22,7,-15,-11,-8,-2
38.53,-17,0,-23,7,14,1,-9,-6
38.535,17,20,-15,-15,-11,-3,4,3
38.54,14,-7,-7,0,4,-1,1,2
38.545,13,-4,-5,12,-2,3,-3,-2
38.55,-34,-18,-4,-18,12,7,-3,-10
38.555,23,37,-48,-17,-17,-9,-1,0
38.56,-4,-47,33,-27,0,0,3,5
38.565,-10,-17,15,20,-1,3,4,-5
38.57,-1,19,6,31,2,-5,-7,0
38.575,8,-8,-21,-23,-3,1,2,2
38.58,10,-5,-43,-23,1,3,1,0
38.585,15,14,14,0,-7,0,1,0
38.59,6,-4,11,11,5,0,-3,-1
38.595,-3,-15,8,28,9,1,4,0
38.6,16,11,17,51,-4,-5,-5,-3
38.605,-24,-26,-70,-80,-15,-12,-11,-12
38.61,-1,17,24,50,-2,3,-3,-2
38.615,2,-38,11,-24,-11,0,3,2
38.62,2,6,22,-15,-2,4,4,3
38.625,14,26,11,31,-4,-5,1,4
38.63,-2,5,-6,-13,1,-4,-3,2
38.635,-8,-38,8,-3,6,2,-2,-5
38.64,-4,12,40,35,8,1,1,1
38.645,4,6,-11,-9,-1,-2,-1,1
38.65,-13,-3,-20,-19,-8,-7,-7,-2
38.655,-6,-1,19,28,5,3,2,-1
38.66,6,11,-22,-11,-4,-3,-3,-2
38.665,19,11,-32,-17,-7,-2,0,0
38.67,-72,-5,-2,-10,-4,-6,-6,-11
38.675,-2,-6,-7,8,9,2,1,0
38.68,-3,-1,10,-23,-11,-6,-4,-5
38.685,-5,-3,21,2,0,-1,2,1
38.69,15,7,14,10,0,3,1,5
38.695,-1,0,2,20,6,2,2,-1
38.7,-7,-7,-56,-59,-7,-3,-3,-2
38.705,-3,-5,39,38,2,0,-2,-4
38.71,8,2,-16,-9,-4,-4,-1,-1
38.715,3,10,29,-7,11,5,0,-1
38.72,1,-17,-41,-33,-29,-2,1,-3
38.725,-9,11,-1,17,14,3,-1,-1
38.73,-3,-10,4,-18,-13,-8,-5,-2
38.735,3,0,21,6,5,2,3,1
38.74,15,20,18,33,10,0,2,1
38.745,-15,-27,-28,-1,-1,-2,-2,-3
38.75,28,1,13,-20,-5,0,0,3
38.755,-53,1,-28,6,-4,-4,-3,-6
38.76,-22,-12,-34,-1,-4,-8,-10,-9
38.765,-23,-3,11,-3,3,2,2,1
38.77,16,2,-3,-14,-3,-3,0,3
38.775,11,2,-6,-16,-1,-2,-3,-3
38.78,16,-7,44,37,0,2,1,-2
38.785,22,18,-20,-8,-1,-1,-1,5
38.79,10,-12,1,11,6,5,5,1
38.795,-46,-3,3,0,5,-3,-5,-7
38.8,-10,-21,-10,16,-3,-2,-2,-3
38.805,2,-8,-6,-48,-32,-12,-2,0
38.81,18,5,4,-7,0,4,4,2
38.815,28,3,-18,-3,-1,0,-2,1
38.82,-2,7,-13,-2,14,1,-1,2
38.825,-1,-13,11,24,5,1,-2,-3
38.83,-20,-3,-19,12,-2,0,-1,-1
38.835,8,-5,0,-15,-4,-2,-1,-1
38.84,-9,8,-22,2,-2,-3,0,-2
38.845,13,3,21,-4,0,-1,1,3
38.85,-18,-2,3,6,4,2,0,-5
38.855,29,-3,-4,-6,0,1,2,1
38.86,-30,4,15,-6,-3,-3,-1,4
38.865,-19,-2,2,8,3,1,-2,-2
38.87,-12,25,-8,-2,-6,-4,-5,-4
38.875,10,-2,5,13,2,1,0,2
38.88,14,1,8,-9,6,4,3,4
38.885,24,14,20,12,3,-1,-2,1
38.89,-38,-11,-6,-43,-15,-7,-6,-5
38.895,12,4,-15,-2,-6,-2,-2,-4
38.9,-17,-3,2,5,0,-5,-6,-3
38.905,-3,10,2,-5,5,3,0,-5
38.91,10,-13,7,25,12,5,3,2
38.915,14,9,4,25,-6,-4,0,4
38.92,2,-12,-8,-34,-3,0,0,-2
38.925,2,6,-17,-8,-3,-4,-3,-3
38.93,16,9,12,24,0,-1,-2,1
38.935,-7,-3,-5,5,-10,-3,3,7
38.94,-7,-4,0,-30,-27,-3,-2,1
38.945,2,-3,11,5,0,-1,-5,-10
38.95,-18,-6,-15,-15,6,2,-2,-9
38.955,-10,-6,9,12,5,-2,-5,-1
38.96,18,6,-29,10,5,-1,-2,-3
38.965,-16,-23,6,-14,-5,5,7,3
38.97,11,32,1,12,3,-4,-3,3
38.975,2,-2,-9,-1,-4,1,-1,-4
38.98,-3,-3,14,-2,1,-2,0,0
38.985,-4,0,-8,8,3,0,0,-2
38.99,11,-12,-5,10,1,-2,1,-1
38.995,-33,-3,-6,-28,-6,-3,-2,-4
39,3,2,5,10,2,0,-2,-2
39.005,-4,-10,-5,3,-1,-1,-3,-4
39.01,-5,-5,1,-5,-2,-1,-1,0
39.015,9,-9,-1,4,-7,-2,2,-1
39.02,1,-1,-2,0,2,1,-3,-3
39.025,-4,4,2,2,-2,1,3,0
39.03,2,-11,5,3,1,-2,-2,-1
39.035,11,14,-3,-29,1,0,0,-2
39.04,-1,11,16,11,8,3,2,1
39.045,-9,-9,-2,-11,-4,-7,-3,-1
39.05,-3,2,-9,3,-10,-2,-2,-1
39.055,-1,-17,1,6,5,-1,-4,-1
39.06,5,7,-1,-3,3,0,1,-2
39.065,1,14,-2,-4,-1,-1,-3,0
39.07,-5,-12,4,5,1,1,-1,0
39.075,1,7,-1,2,-1,-5,-6,-1
39.08,1,-14,-8,0,0,1,0,-1
39.085,3,7,4,23,-7,-5,-4,-1
39.09,-2,-9,-6,-16,-3,-3,0,-4
39.095,-8,-5,-1,-6,-4,-2,-1,-1
39.1,6,7,4,-3,0,1,0,-2
39.105,1,-6,0,2,1,-1,0,3
39.11,3,-8,-7,-5,-1,0,0,-1
39.115,-9,-2,-10,-8,-3,0,-3,-2
39.12,0,-12,0,5,-3,-2,1,-2
39.125,-7,0,2,-3,0,-1,-3,0
39.13,-3,-8,1,-3,-1,-3,-2,-1
39.135,11,8,0,7,1,-1,-2,-1
39.14,0,8,6,-11,0,1,-1,-1
39.145,-3,-1,1,-5,-2,0,-1,-2
39.15,2,3,7,5,-1,-1,-2,0
39.155,-4,-14,-2,-5,1,3,2,1
39.16,2,5,-1,-4,0,-3,-2,-1
39.165,-2,-12,6,2,4,4,5,-3
39.17,-8,-9,-8,-11,-5,-2,-3,-2
39.175,1,13,-2,4,-4,-5,-4,-3
39.18,7,-1,-6,13,1,-1,-3,1
39.185,-7,-2,2,-22,-6,-2,-2,-2
39.19,-1,1,-3,4,-3,-3,-3,0
39.195,-3,-5,5,4,3,3,3,0
39.2,0,4,-18,9,-1,-3,-2,-1
39.205,1,1,-3,4,0,-1,-2,-2
39.21,-3,4,-8,-4,-2,-2,-2,-1
39.215,6,3,-3,-5,-2,-3,-3,0
39.22,-9,-12,4,3,-2,0,-1,-3
39.225,0,1,-16,-8,-1,-1,-1,-1
39.23,-11,-16,-3,-1,-1,-3,-2,-2
39.235,0,2,7,-4,-3,0,2,-1
39.24,-1,-2,3,-10,0,-2,1,-2
39.245,2,-3,1,0,-2,-3,-2,1
39.25,1,-5,2,2,2,1,1,-3
39.255,4,3,-2,4,-2,-2,-2,-1
39.26,6,15,-2,-1,-1,-3,-3,-3
39.265,-9,-7,12,9,4,3,5,-1
39.27,-2,-1,-8,2,4,1,0,3
39.275,-2,-15,-1,-2,-1,-1,1,-2
39.28,0,0,-8,-8,-8,-5,-5,-1
39.285,4,-2,-9,0,1,-1,-3,-2
39.29,-1,0,0,3,-3,-2,-2,-2
39.295,0,-3,-8,-10,-3,1,-1,-1
39.3,-6,-10,6,0,3,2,1,0
39.305,3,5,0,3,-2,-4,-2,-1
39.31,3,2,3,0,-2,0,0,0
39.315,2,2,0,0,-2,-3,-5,0
39.32,0,2,7,4,-1,-1,1,1
39.325,0,-9,-3,-3,-2,1,1,1
39.33,-4,6,-5,-13,-3,0,2,-1
39.335,-6,-4,-2,6,-2,-4,-4,-5
39.34,-7,-9,2,-3,-3,-2,0,-2
39.345,-3,1,-2,-3,-2,-3,-5,-2
39.35,5,-1,7,3,4,2,0,1
39.355,1,1,-3,-6,-1,1,1,-2
39.36,-1,-2,1,9,1,-2,-1,0
39.365,2,-1,-5,1,-2,-2,-2,1
39.37,0,-4,2,-1,1,-2,-2,-3
39.375,-5,-1,3,9,1,1,-1,-1
39.38,1,8,0,-1,-3,-3,-3,-3
39.385,-1,-5,-1,-4,0,-1,0,2
39.39,0,6,-6,-11,-4,-5,-3,-4
39.395,-4,-4,-2,-2,-3,-2,-2,-2
39.4,-7,-16,-5,3,2,4,2,2
39.405,-1,2,-1,0,-2,-2,-4,-3
39.41,-2,-3,-6,-4,-4,0,-3,-1
39.415,0,-6,-2,-3,0,-2,-1,0
