timestamp,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
0.005,-2,2,4,-1,-3,0,1,-1
0.01,-1,2,-3,0,-1,0,1,-1
0.015,2,1,8,4,2,-1,0,-1
0.02,-1,-1,7,0,0,0,-3,0
0.025,-5,-5,-20,-7,-5,-1,-4,-3
0.03,-2,1,5,-1,-3,2,1,-1
0.035,0,-2,-2,-1,1,-2,0,0
0.04,1,-1,6,5,0,-2,-2,-1
0.045,2,4,14,1,-3,0,0,-1
0.05,-5,-10,-37,-11,-5,-1,-1,-3
0.055,-2,13,5,3,0,0,-1,1
0.06,0,-11,-6,-6,-2,-3,-2,-2
0.065,-1,-4,-7,-1,-2,-2,-1,-1
0.07,-4,-8,3,2,0,0,0,-2
0.075,-2,1,-11,-4,1,-1,-2,0
0.08,-2,-3,-16,-4,-1,-1,-3,-3
0.085,-1,1,-3,-1,-2,0,1,-1
0.09,3,0,19,3,-1,-2,-2,1
0.095,-1,-8,-4,1,0,-1,-3,-1
0.1,-1,1,-2,0,1,-3,-1,0
0.105,-1,-5,-4,-1,-2,-1,-2,0
0.11,1,3,0,-2,0,-1,-2,0
0.115,-3,-9,-16,-5,-4,-5,-4,-2
0.12,0,4,4,2,2,-1,-1,0
0.125,-1,1,-6,-1,-4,-1,2,-2
0.13,1,5,16,3,-2,1,2,0
0.135,1,-2,-27,-4,1,-2,-2,0
0.14,-5,-7,1,-2,-2,-4,-3,-5
0.145,-3,0,4,-3,-2,0,-2,1
0.15,1,0,4,1,-1,0,0,-1
0.155,0,-3,14,1,2,-2,-1,0
0.16,2,0,-11,-2,0,-1,-4,0
0.165,-4,2,11,1,-1,-2,-1,-4
0.17,-6,-4,-27,-5,-3,-1,-1,-3
0.175,2,0,6,2,1,-3,0,0
0.18,2,6,-1,-2,1,0,-1,-2
0.185,-4,-8,1,-6,-6,-2,-1,-4
0.19,-2,2,26,2,0,2,0,0
0.195,-3,-7,-33,-3,-1,-4,-1,-2
0.2,0,2,-1,2,-1,-1,0,0
0.205,-2,1,-10,-3,-2,0,0,0
0.21,0,2,12,-1,-3,2,0,-2
0.215,-1,0,-15,-4,-2,-3,-2,-3
0.22,-2,-1,2,-2,-4,0,-1,0
0.225,1,2,3,2,1,2,-1,1
0.23,-2,-7,-13,-2,-1,-2,-2,-1
0.235,1,2,14,3,-1,-2,-4,-1
0.24,-1,0,10,-4,-1,-1,-2,0
0.245,0,4,4,4,0,0,0,-1
0.25,-1,1,-33,-5,-2,-1,-1,1
0.255,1,-5,16,2,3,-1,0,0
0.26,-3,8,8,2,-1,-2,-2,-3
0.265,-1,-1,0,-1,-2,1,0,-2
0.27,-1,1,-8,-5,-1,0,-1,0
0.275,-2,-11,-7,-1,-1,-2,0,-1
0.28,7,9,-1,-3,-1,-2,-1,1
0.285,-1,-16,-4,2,-1,-1,-2,-3
0.29,-1,9,0,2,-1,-2,0,0
0.295,0,-3,2,1,-2,1,-2,0
0.3,-1,-3,0,2,0,-3,0,-1
0.305,-2,-7,-6,-6,-3,-2,-3,-2
0.31,0,-5,-3,-2,-1,0,-2,-1
0.315,-3,7,9,1,0,1,-1,-2
0.32,-2,-9,-8,2,-2,1,-3,-1
0.325,2,9,25,-2,-1,2,0,2
0.33,-3,-7,-12,1,-3,-4,-1,-2
0.335,1,7,16,3,1,1,-1,1
0.34,-5,-15,-48,-8,-3,-4,0,-3
0.345,2,3,16,2,-1,-1,0,1
0.35,-2,-3,-9,-7,-1,-2,-1,-1
0.355,-4,-3,0,-4,-1,-4,-2,-2
0.36,0,-2,8,1,4,1,0,0
0.365,-2,1,-15,4,1,-2,-3,1
0.37,0,-2,3,1,-2,0,0,0
0.375,0,1,-7,-3,0,0,-1,0
0.38,-3,-6,14,-1,0,-2,-2,-2
0.385,-2,-3,-42,-7,0,-2,-1,-2
0.39,2,7,16,4,0,1,0,0
0.395,-3,-14,-27,-7,-2,-3,-3,-4
0.4,-4,4,11,-1,-1,-2,-3,-1
0.405,-1,-3,-3,-2,0,-1,0,-1
0.41,0,-5,-3,0,-1,-2,1,-1
0.415,8,16,7,-1,-1,3,1,0
0.42,-2,-4,-6,-3,1,-3,-3,-2
0.425,0,1,0,-3,-1,-1,0,1
0.43,1,1,19,1,-1,0,-1,0
0.435,-4,-7,-17,-3,-3,0,-2,-2
0.44,0,-3,14,2,0,0,-1,0
0.445,3,5,12,0,-1,0,-2,-1
0.45,-2,-3,-10,-4,-2,-3,-1,-2
0.455,-2,-1,-12,1,3,-2,-2,-1
0.46,-2,-5,-12,-1,-1,-2,-1,-1
0.465,-2,1,-2,-3,-3,-3,-1,-1
0.47,-2,1,16,2,3,-1,0,0
0.475,0,-8,5,-1,-2,-3,0,-3
0.48,1,-1,-5,-1,0,-1,-1,2
0.485,-2,-3,4,-2,-2,0,-1,-2
0.49,-1,0,-3,-2,-1,-1,-3,-1
0.495,-1,-1,-9,0,-2,-3,-2,0
0.5,-1,-1,4,0,-2,-3,-1,1
0.505,-1,-2,-3,-1,-1,1,-1,0
0.51,0,-3,6,1,0,-3,-2,0
0.515,-4,-5,-18,-2,0,0,-1,0
0.52,0,5,10,1,-3,-3,-1,-1
0.525,-1,2,-18,-4,-1,-4,-1,-1
0.53,-3,-4,-18,-4,-2,-4,-3,-3
0.535,-3,1,23,-2,-4,0,1,-1
0.54,-3,-6,-17,0,0,-1,-1,-2
0.545,2,-8,16,7,3,3,1,2
0.55,-4,6,19,-5,-4,-4,-2,-2
0.555,-1,-2,-19,-2,-1,-2,-1,0
0.56,0,2,16,0,-1,-2,-2,-3
0.565,-4,-8,-41,-4,0,-3,-2,0
0.57,1,-1,13,2,-1,0,0,1
0.575,-1,0,18,-1,0,0,-1,-1
0.58,-2,0,-6,-1,-1,0,0,0
0.585,0,1,5,0,-1,-1,-3,-2
0.59,-1,-2,-4,2,2,1,-2,1
0.595,1,-1,-10,-2,-1,-2,-3,0
0.6,-8,0,5,1,0,1,1,-1
