timestamp,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
15.15,-1,0,14,-1,-1,-2,0,-2
15.155,-4,-4,-16,-6,-1,-1,-1,-2
15.16,0,-7,-8,2,0,-2,-3,0
15.165,-2,-1,4,-2,-2,-1,-2,-2
15.17,0,-6,14,0,-2,-2,-1,-2
15.175,4,4,-7,0,-2,0,-2,2
15.18,0,-11,7,1,3,0,0,-1
15.185,-1,2,-3,-8,-2,-4,-2,-2
15.19,-6,-11,-33,-4,-5,-2,-3,-4
15.195,2,5,2,4,-3,-2,-3,-3
15.2,8,7,26,9,4,2,1,3
15.205,3,7,-2,2,-2,1,-1,0
15.21,-4,-19,-30,-7,-2,0,-3,-2
15.215,0,0,13,6,-1,-1,-1,-3
15.22,-2,-9,-17,-8,-1,-2,-1,-1
15.225,-4,8,6,-5,-10,-3,-3,-3
15.23,2,1,0,-3,0,1,0,1
15.235,1,-4,-10,0,7,3,1,-1
15.24,2,5,33,3,-3,1,1,1
15.245,3,6,-11,5,0,-1,-1,0
15.25,-7,-18,-23,-10,-1,-2,-2,-1
15.255,-1,-6,-9,-2,-3,-2,-1,-1
15.26,-10,2,16,0,-1,-3,-3,-4
15.265,-15,-35,-100,-44,-13,-10,-8,-9
15.27,-4,-14,19,7,2,0,1,-3
15.275,1,4,11,-5,-2,1,-1,1
15.28,-3,0,12,7,1,1,-2,-1
15.285,4,19,23,11,5,2,1,2
15.29,-5,-15,-10,-10,-7,-5,-3,-3
15.295,-4,-7,-32,-3,2,-1,0,-2
15.3,-1,-3,-10,-6,-5,-2,-1,-1
15.305,4,9,17,-1,2,-2,0,1
15.31,4,11,21,5,-1,-1,-3,0
15.315,3,2,13,7,-3,0,0,-1
15.32,2,10,22,5,4,2,2,0
15.325,2,4,5,3,2,2,-1,0
15.33,-5,-23,-34,-7,-1,-3,-4,-4
15.335,-1,-5,13,2,-4,-2,0,-3
15.34,-7,-10,5,-9,-4,-2,-3,-3
15.345,-3,-9,-23,-2,1,-3,-2,-2
15.35,0,-5,-4,-2,-4,-2,-1,-1
15.355,-2,0,3,-3,-1,-2,-2,-3
15.36,3,1,4,7,2,0,0,0
15.365,-5,5,10,4,-3,-2,-1,-2
15.37,5,-3,-8,-1,-2,0,-1,-1
15.375,-5,-4,-1,-2,-2,-1,-1,-1
15.38,-2,0,-9,-3,-2,-2,-2,0
15.385,-2,6,23,5,3,4,1,1
15.39,1,6,12,3,1,3,1,1
15.395,-8,-20,-34,-8,-7,-4,-4,-6
15.4,-5,-2,-23,-8,-5,-7,-3,-4
15.405,-5,-2,15,4,0,-2,1,-1
15.41,0,5,8,4,0,0,-2,-1
15.415,1,3,21,5,2,0,0,0
15.42,0,0,-1,-2,-1,0,-2,0
15.425,-1,3,-8,-2,1,0,2,1
15.43,-2,-5,-6,-4,-1,-6,-2,-1
15.435,-2,0,1,-2,-2,1,-7,-2
15.44,1,2,-1,-1,-1,-4,-2,0
15.445,-3,-3,0,-1,-4,0,-4,-3
15.45,-3,-3,-7,0,1,-2,10,-1
15.455,2,6,2,1,2,1,0,2
15.46,0,-8,-1,-1,-2,-2,-1,-1
15.465,-1,2,1,-3,-3,-1,-4,0
15.47,-2,-2,-6,-1,-2,-3,-7,-3
15.475,-1,-1,0,-10,-7,-4,0,-1
15.48,-4,-2,-10,-3,-5,-2,-5,-3
15.485,2,-1,3,14,15,1,1,0
15.49,-1,2,6,2,-3,0,-2,-1
15.495,-2,-5,-6,-2,-4,-4,-2,-1
15.5,0,-1,0,-3,-3,3,-1,1
15.505,-1,2,4,-4,-3,-1,2,1
15.51,-7,-2,-3,-1,0,0,-2,-2
15.515,-1,2,2,-8,-9,-3,-2,-2
15.52,1,-7,-9,8,10,1,-1,0
15.525,1,2,2,13,9,-1,-1,-1
15.53,-3,0,11,7,4,4,2,1
15.535,3,7,24,0,-1,2,2,1
15.54,-2,-9,-56,-12,-9,-3,-2,-2
15.545,-4,-2,-5,-11,-5,-4,-5,-4
15.55,2,-2,1,2,-2,-3,-2,-4
15.555,-1,-3,3,5,5,1,1,-1
15.56,-10,-22,16,-1,3,1,-1,-3
15.565,1,0,-3,-5,-4,-4,-3,-1
15.57,9,30,58,5,0,0,2,4
15.575,-5,-27,-82,-11,0,-2,-1,-2
15.58,-6,-9,7,-8,-3,-5,-4,-5
15.585,-1,3,17,-3,-4,0,-3,-2
15.59,-1,-3,11,3,0,-2,-2,-2
15.595,-1,9,30,14,7,2,1,0
15.6,2,9,-5,-6,3,-1,-1,0
15.605,-2,-10,-6,1,-4,-1,-2,-1
15.61,3,2,-3,-4,3,3,2,2
15.615,-1,2,-2,4,2,-3,-1,0
15.62,0,4,-4,-4,-4,-4,-2,-3
15.625,-2,3,2,-2,-5,-2,0,-2
15.63,-6,-12,-23,-5,-5,-6,-3,-3
15.635,-2,-2,-4,-6,-1,0,0,-2
15.64,0,7,18,3,-3,0,-1,-1
15.645,0,-2,3,-3,1,-1,-2,-1
15.65,-2,-7,-25,-1,-2,-1,-1,-2
15.655,-2,-1,1,-3,-1,-4,-1,-1
15.66,4,6,13,-1,-1,2,2,2
15.665,0,-1,1,3,0,3,1,-2
15.67,-2,-4,-13,-4,-2,-2,-2,-3
15.675,-1,2,9,2,1,0,-2,1
15.68,1,2,0,3,-1,1,1,1
15.685,-3,-3,-10,-1,-3,-4,-1,-1
15.69,-2,-3,-5,-4,-2,-1,-3,-2
15.695,2,2,6,2,4,-1,0,-1
15.7,3,12,9,4,1,-1,-1,2
15.705,-1,-4,-16,-2,0,0,1,0
15.71,-6,-8,-19,-7,-6,-6,-3,-3
15.715,-4,0,10,0,-2,-2,-2,-2
15.72,2,0,1,3,-1,-1,0,-2
15.725,1,0,4,3,-1,1,-1,-1
15.73,0,2,0,-4,-1,-1,0,-1
15.735,-1,-1,-7,0,0,2,-2,-1
