timestamp,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,noise
0.005,-2,0,0,1,0,-2,-1,-2,0.0
0.01,0,-1,-4,-2,1,1,-3,-2,0.0
0.015,-2,-3,1,-1,-1,-2,-2,-1,0.0
0.02,-1,-1,1,-5,-4,-2,-1,-2,0.0
0.025,0,0,-3,6,2,-2,2,0,0.0
0.03,1,-2,-1,-2,-5,1,4,1,0.0
0.035,1,2,-2,-4,-3,-2,-2,-1,0.0
0.04,0,-1,0,-1,-2,-1,2,1,0.0
0.045,-1,-2,-3,2,-1,-1,0,-2,0.0
0.05,-1,0,-5,-5,-2,0,-1,-1,0.0
0.055,-1,1,11,0,-5,-3,-3,-3,0.0
0.06,-1,-1,-10,-1,-1,1,1,-1,0.0
0.065,-1,-1,3,0,-1,0,-1,0,0.0
0.07,-3,0,3,5,-1,-3,-4,-3,0.0
0.075,0,-2,-11,-9,-5,2,2,1,0.0
0.08,-2,1,5,4,4,-2,-1,-2,0.0
0.085,-2,-4,-7,-4,0,-1,-1,-1,0.0
0.09,-2,1,4,2,0,-1,-2,-2,0.0
0.095,0,-1,-3,-1,-3,-3,-1,-2,0.0
0.1,-2,0,3,-4,0,-1,-1,-2,0.0
0.105,-1,-2,1,5,0,0,0,0,0.0
0.11,0,-2,-5,-9,-2,-2,-1,-1,0.0
0.115,-3,-2,1,3,3,1,-2,-1,0.0
0.12,-2,-3,-6,-8,-8,-3,-5,0,0.0
0.125,-1,1,2,4,3,-1,-1,-1,0.0
0.13,-2,-3,-8,-1,2,1,0,-2,0.0
0.135,-1,-1,-9,-3,-3,-1,-1,-2,0.0
0.14,-1,-5,-7,-3,-3,-5,-2,-2,0.0
0.145,0,1,8,-3,-3,-1,-2,-2,0.0
0.15,0,-3,-16,-2,-2,-1,0,0,0.0
0.155,0,1,4,3,3,1,1,-1,0.0
0.16,-3,-1,-1,-1,-1,-2,-1,-2,0.0
0.165,0,1,3,1,1,4,3,0,0.0
0.17,-1,-1,0,-2,-2,-2,-1,-3,0.0
0.17500000000000002,-3,-2,-2,-4,-6,-5,-3,-1,0.0
0.18,-1,0,3,2,2,-2,-1,1,0.0
0.185,-2,-2,-6,-7,-8,-3,-4,-3,0.0
0.19,0,-2,4,0,0,1,0,1,0.0
0.195,0,-2,-7,2,1,-3,-2,-2,0.0
0.2,-2,1,2,-3,0,1,-1,-2,0.0
0.20500000000000002,1,0,0,-8,-4,-2,0,-1,0.0
0.21,-3,-8,1,1,-3,-4,-2,-4,0.0
0.215,-1,2,7,1,3,1,2,1,0.0
0.22,-3,-4,-14,0,-4,-3,-2,-3,0.0
0.225,-2,0,1,0,3,1,-1,-1,0.0
0.23,-1,3,-4,-4,-5,-3,-1,-1,0.0
0.23500000000000001,-2,-5,-2,-2,-5,-6,-4,-3,0.0
0.24,-1,3,4,4,3,0,1,0,0.0
