timestamp,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,noise
0.005,-1,-2,1,-1,-2,0,-2,-2,0.0
0.01,6,6,-2,-4,-1,-3,-3,1,0.0
0.015,-9,-4,-2,5,4,4,0,-6,0.0
0.02,11,-14,-1,-3,-2,-2,0,-1,0.0
0.025,-1,2,-3,-1,-1,0,0,-1,0.0
0.03,0,-5,-4,0,-2,-2,0,-2,0.0
0.035,-2,1,-1,-3,-3,-4,-3,0,0.0
0.04,7,-2,-1,-2,-3,1,-1,1,0.0
0.045,-1,-4,-1,1,-1,-2,-4,-2,0.0
0.05,-3,-2,0,0,0,0,0,-1,0.0
0.055,3,-2,0,-1,-1,-2,-2,1,0.0
0.06,-1,-2,-1,-2,-2,-2,-3,-2,0.0
0.065,-4,-4,-1,-2,-1,-2,-1,-1,0.0
0.07,-1,1,-1,-1,0,0,-2,-1,0.0
0.075,0,-4,-2,-1,0,-1,-3,-1,0.0
0.08,-5,5,0,-2,0,-3,0,-1,0.0
0.085,0,4,-2,1,-3,-2,0,-3,0.0
0.09,2,-18,-1,-3,-2,-3,-1,-1,0.0
0.095,2,-12,-2,-2,0,-1,-1,-2,0.0
0.1,-9,9,3,0,0,0,-1,-4,0.0
0.105,0,5,-1,-2,-2,-1,-1,0,0.0
0.11,-2,2,0,1,-1,-1,-1,-2,0.0
0.115,4,1,-1,-2,-3,0,2,1,0.0
0.12,-6,1,0,0,0,-1,-1,-2,0.0
0.125,0,-4,-1,1,0,0,-1,1,0.0
0.13,-1,5,2,-2,-2,0,0,-1,0.0
0.135,-3,-1,-2,-1,0,-1,-2,-1,0.0
0.14,0,-1,-3,-1,-2,-1,0,-1,0.0
0.145,1,-2,-3,-2,-3,-3,-3,1,0.0
0.15,-2,2,1,-1,0,-1,0,-2,0.0
0.155,0,0,0,-2,-1,0,-1,-2,0.0
0.16,5,3,-2,-2,0,0,0,0,0.0
0.165,-1,0,-1,-1,-2,-1,-1,0,0.0
0.17,6,-11,0,-2,-4,-2,-3,2,0.0
0.17500000000000002,5,-19,2,0,-2,-3,-1,-2,0.0
0.18,1,2,-3,-1,-5,-1,-2,2,0.0
0.185,-3,1,-1,0,3,2,0,-5,0.0
0.19,-4,1,-1,-1,1,-1,-1,-2,0.0
0.195,1,0,1,-2,-3,-3,0,-2,0.0
0.2,-2,-8,1,-3,-4,-2,0,0,0.0
0.20500000000000002,-1,-2,0,-2,-4,-2,0,1,0.0
0.21,-1,-2,-5,-3,-1,0,-1,-3,0.0
0.215,-4,1,-1,-1,-1,-1,-1,-3,0.0
0.22,-3,3,1,2,0,-1,-3,-3,0.0
0.225,2,3,5,-2,-3,-2,0,-1,0.0
0.23,-1,4,-2,-1,-2,-2,-2,-4,0.0
0.23500000000000001,-1,-7,-3,0,-1,0,-2,-2,0.0
0.24,-2,-5,0,-1,-2,-1,-2,-2,0.0
0.245,-5,-8,-1,1,0,-1,-2,-2,0.0
0.25,-5,9,3,1,1,-1,0,2,0.0
0.255,-2,3,0,-3,-3,-2,1,0,0.0
0.26,-1,2,-4,1,2,1,-1,-3,0.0
0.265,-4,2,-2,-1,1,2,0,-5,0.0
0.27,-2,-12,-4,-2,-2,-3,-2,-1,0.0
0.275,-4,-1,-2,-2,-1,0,1,-1,0.0
0.28,-7,-10,1,-4,0,-4,0,-3,0.0
0.28500000000000003,0,4,-1,-2,-3,-1,-3,-3,0.0
0.29,2,-2,-2,0,-1,-1,-2,-2,0.0
0.295,-7,-12,-2,1,1,-1,-2,-3,0.0
0.3,-3,-2,0,-1,1,1,-1,-2,0.0
0.305,-4,3,0,-2,-1,-2,-1,-2,0.0
0.31,-1,-2,-1,-1,-1,0,2,-1,0.0
0.315,-12,24,0,-1,-2,-1,-2,2,0.0
0.32,1,-2,-3,-1,-1,0,-1,-2,0.0
0.325,0,0,-1,1,0,-1,-2,1,0.0
0.33,9,-3,1,0,0,1,0,1,0.0
0.335,5,-1,0,-2,-3,-2,0,1,0.0
0.34,-7,-3,-3,1,1,0,0,-6,0.0
0.34500000000000003,0,4,-3,-2,-2,-1,1,0,0.0
0.35000000000000003,-3,-1,-1,0,-1,-3,-3,1,0.0
0.355,2,-5,-1,0,-1,-1,-1,0,0.0
0.36,1,-1,0,-1,-3,-1,-1,2,0.0
0.365,-8,-21,-3,-5,-4,-3,-3,-2,0.0
0.37,-6,1,0,0,1,1,-1,-4,0.0
0.375,1,-4,-2,-2,1,-2,0,-1,0.0
0.38,-3,1,1,1,2,1,0,-1,0.0
0.385,0,5,0,-3,-2,0,-1,-1,0.0
0.39,-1,1,-1,-1,-3,-3,0,0,0.0
0.395,-7,15,0,0,-3,0,-1,-1,0.0
0.4,-2,-3,0,-1,-1,-1,-2,-1,0.0
0.405,3,-3,-11,-2,-1,-1,-1,-2,0.0
0.41000000000000003,-1,-4,1,0,-3,-2,0,0,0.0
0.41500000000000004,1,-6,1,2,4,1,-1,-4,0.0
0.42,2,1,1,-2,-1,0,-1,1,0.0
0.425,-1,7,2,3,2,-1,0,-4,0.0
0.43,-5,-6,-2,-1,-1,-2,-3,-3,0.0
0.435,-2,0,-5,-2,-2,0,-1,-2,0.0
0.44,0,8,0,-2,-4,0,-2,-1,0.0
0.445,-1,-4,-1,2,1,-2,-2,-1,0.0
0.45,-3,-2,0,-1,-1,-2,-1,-1,0.0
0.455,3,3,0,-2,-3,-2,-2,-1,0.0
0.46,0,1,-2,-1,-2,-1,-3,0,0.0
0.465,-2,2,1,0,0,0,-1,-1,0.0
0.47000000000000003,4,-4,-2,-3,-1,0,-1,-1,0.0
0.47500000000000003,-2,-6,0,-1,0,-1,-2,-3,0.0
0.48,-1,-4,2,-1,1,-3,-1,-2,0.0
0.485,3,0,1,-2,-2,0,1,1,0.0
