timestamp,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,noise
0.005,1,-3,1,3,2,0,-3,-3,0.0
0.01,3,4,-2,3,1,-1,-2,-2,0.0
0.015,-1,-1,-2,-3,-2,2,-2,-2,0.0
0.02,-3,-2,0,-1,-1,-1,0,-2,0.0
0.025,0,-3,0,-4,-1,1,-1,2,0.0
0.03,2,3,-2,6,1,-1,0,0,0.0
0.035,-2,0,0,1,4,-1,-1,-2,0.0
0.04,-3,-2,-1,-1,-4,-1,-3,-3,0.0
0.045,3,2,2,-4,-2,-4,-2,0,0.0
0.05,-5,-3,-2,-4,-4,3,-4,1,0.0
0.055,-2,-4,-3,-1,-2,-3,-3,-1,0.0
0.06,0,2,1,-1,-3,-3,1,4,0.0
0.065,-3,2,2,1,-6,-1,2,-3,0.0
0.07,-4,-7,1,-5,-3,-2,-3,-1,0.0
0.075,-1,5,-1,0,-4,-2,-3,-3,0.0
0.08,-3,-5,-5,-4,-2,-3,-1,-2,0.0
0.085,-2,1,-2,0,-3,-3,1,1,0.0
0.09,-6,3,3,0,-4,-3,1,-1,0.0
0.095,-1,-6,2,1,1,-2,1,-5,0.0
0.1,-1,2,-1,1,3,2,0,-2,0.0
0.105,-1,-2,-5,-1,2,0,-4,-1,0.0
0.11,1,-1,-7,-2,2,1,4,-2,0.0
0.115,3,-2,2,0,2,0,-2,-2,0.0
0.12,-1,1,-7,0,-3,4,-3,0,0.0
0.125,2,-5,-4,-3,-2,-1,-2,1,0.0
0.13,-5,-4,1,-2,-1,-2,2,4,0.0
0.135,2,0,0,3,-3,0,-4,0,0.0
0.14,-1,-4,-1,-4,-4,2,-3,-2,0.0
0.145,-1,-2,7,3,-1,1,1,0,0.0
0.15,-3,0,-4,-5,0,0,0,3,0.0
0.155,-6,-4,-3,-1,2,2,1,-5,0.0
0.16,1,1,0,-1,-2,-1,2,-1,0.0
0.165,-6,0,-3,-4,1,0,-2,-4,0.0
0.17,-1,-4,-3,-4,-3,-2,-2,-1,0.0
0.17500000000000002,4,3,-3,-1,-2,-1,-6,2,0.0
0.18,-5,-4,2,0,6,0,0,-1,0.0
0.185,-2,-2,-6,-2,-4,-2,-1,-2,0.0
0.19,-2,0,-1,-2,0,-1,-2,-1,0.0
0.195,-1,-5,4,-4,-2,3,3,-3,0.0
0.2,-3,-4,-2,-3,-2,0,-4,-6,0.0
0.20500000000000002,1,-2,1,-2,0,-1,-2,1,0.0
0.21,-2,-4,-5,-1,2,0,-5,-2,0.0
0.215,-2,0,-2,-2,1,-4,2,3,0.0
0.22,-1,-2,-3,-2,-2,0,-1,0,0.0
0.225,-3,-3,-4,-1,-2,-4,2,-5,0.0
0.23,4,2,5,-3,-5,-3,0,-4,0.0
0.23500000000000001,-2,-4,-1,-6,-5,-3,-4,-1,0.0
0.24,2,2,-1,1,0,-1,3,-1,0.0
0.245,0,-2,2,-1,-2,-1,-1,3,0.0
0.25,3,-4,-3,0,1,0,-3,-5,0.0
0.255,-3,-1,-1,0,6,2,-1,-3,0.0
0.26,0,2,1,-2,-4,0,-3,1,0.0
0.265,1,6,0,-1,4,1,0,1,0.0
0.27,-3,-1,-1,-1,0,-2,-2,-4,0.0
0.275,-5,-2,3,0,0,0,0,0,0.0
0.28,-3,-2,-1,2,1,0,0,1,0.0
0.28500000000000003,0,-1,1,3,4,3,-5,0,0.0
0.29,-5,0,0,-1,-2,-4,0,8,0.0
0.295,-3,-2,-1,-2,-1,1,-2,0,0.0
0.3,-1,2,-3,-7,-6,-2,-1,-1,0.0
0.305,-4,-6,-2,-1,0,0,-4,-2,0.0
0.31,1,-2,-4,-2,2,3,1,3,0.0
0.315,4,0,-3,-2,-4,-1,0,-3,0.0
0.32,-1,1,2,-1,-5,-3,-4,-1,0.0
0.325,-3,-1,-4,-2,-3,1,-4,0,0.0
0.33,-2,-2,-2,-6,-9,-7,-2,2,0.0
0.335,0,-1,-2,-3,-6,-5,-2,2,0.0
0.34,-3,-5,2,-3,-1,-7,-5,0,0.0
0.34500000000000003,7,3,-1,-1,-5,-2,-2,-2,0.0
0.35000000000000003,2,6,2,5,-1,-1,-1,-1,0.0
0.355,-2,5,-3,3,5,1,5,4,0.0
0.36,-3,-1,1,-1,-4,1,0,-1,0.0
0.365,-1,-4,0,-5,-3,-2,2,-1,0.0
0.37,-7,-5,-2,1,7,1,0,-2,0.0
0.375,-3,1,0,-7,-10,-3,-3,-2,0.0
0.38,-2,-6,-7,1,3,-2,3,4,0.0
0.385,1,-1,-2,-1,-1,-4,0,-2,0.0
0.39,3,0,3,1,-4,2,3,-1,0.0
0.395,0,-3,-2,4,5,-2,2,0,0.0
0.4,-2,2,-4,1,-3,0,-3,1,0.0
0.405,-6,1,1,3,0,0,-1,0,0.0
0.41000000000000003,-2,-5,-2,1,-1,-3,-2,-4,0.0
0.41500000000000004,-3,-4,-1,-2,-1,-1,-1,1,0.0
0.42,0,-3,3,0,-4,1,0,-1,0.0
0.425,-1,3,3,-2,-5,-2,-3,0,0.0
0.43,-4,0,3,1,-2,3,-3,-1,0.0
0.435,-2,-1,-2,1,-1,3,2,1,0.0
0.44,-1,0,0,0,0,-3,-2,-5,0.0
0.445,-2,-5,-4,1,-1,-4,-3,-6,0.0
0.45,0,1,-2,-1,3,-4,-1,-2,0.0
0.455,0,-5,-2,1,0,0,-1,-1,0.0
0.46,-4,0,-3,2,1,2,-1,3,0.0
0.465,-2,-4,-3,-2,2,-4,-1,-3,0.0
0.47000000000000003,1,5,-5,-3,-5,1,-1,-1,0.0
0.47500000000000003,-1,2,3,-2,-1,-6,-3,-1,0.0
0.48,2,3,-5,-3,-4,-2,2,-4,0.0
0.485,-5,-3,1,-1,-2,-8,0,2,0.0
0.49,-6,-7,0,1,5,2,-2,-1,0.0
0.495,4,-1,2,-2,3,-3,-3,-3,0.0
0.5,3,-3,-1,0,-2,0,-2,1,0.0
0.505,0,0,-3,-2,1,3,1,1,0.0
0.51,3,-4,2,-5,-3,-5,-2,-1,0.0
0.515,-3,0,1,4,8,0,-2,-2,0.0
0.52,-3,-1,-1,-2,3,-4,-7,-6,0.0
0.525,-1,0,0,0,-1,-1,-2,1,0.0
0.53,-4,1,-4,2,3,3,-2,2,0.0
0.535,4,-2,1,-1,-2,0,1,0,0.0
0.54,0,3,-1,0,1,1,-3,0,0.0
0.545,1,2,-3,-2,0,0,1,2,0.0
0.55,-1,-1,-2,-2,0,2,2,1,0.0
0.555,-4,0,-1,-2,-1,1,-3,-2,0.0
0.56,-3,-3,-4,-6,0,-3,2,-4,0.0
0.5650000000000001,-2,-2,-2,-2,-6,-3,0,1,0.0
0.5700000000000001,1,-1,-2,-3,-3,-7,-2,-1,0.0
0.5750000000000001,1,-2,-3,-2,-4,-3,-5,-2,0.0
0.58,3,-1,3,-3,-1,5,2,-2,0.0
0.585,0,0,-4,-6,-1,-1,-4,-2,0.0
0.59,-2,1,0,-5,-1,-2,-2,-1,0.0
0.595,4,-2,-3,-3,-7,-1,-3,0,0.0
0.6,0,-1,3,1,6,-5,0,-3,0.0
0.605,-3,-6,-6,-1,0,-1,0,1,0.0
0.61,-4,-5,-5,-13,-10,-1,-4,-5,0.0
0.615,-5,1,2,-3,1,2,0,0,0.0
0.62,-2,-3,-1,-5,-8,-5,-5,1,0.0
0.625,2,-4,1,3,1,1,-2,-2,0.0
0.63,0,-2,3,2,-2,1,2,-1,0.0
0.635,1,0,-5,-5,-7,1,-2,-3,0.0
0.64,-2,0,-5,-7,-6,-3,-1,2,0.0
0.645,-3,-3,1,-1,-5,0,-2,-2,0.0
0.65,-2,0,-3,-3,-4,0,-1,2,0.0
0.655,-3,-4,-4,-1,3,-2,0,-3,0.0
0.66,-5,0,-3,-5,0,1,1,-3,0.0
0.665,2,-1,-10,-9,2,-3,1,-3,0.0
0.67,-3,-2,-3,-5,-4,3,-3,-4,0.0
0.675,-6,-4,-3,-3,-4,-2,-1,-4,0.0
0.68,-3,-4,0,-3,-1,1,-2,1,0.0
0.685,3,3,2,-5,-1,-3,0,-4,0.0
0.6900000000000001,5,-6,-2,-2,-3,-2,-1,-4,0.0
0.6950000000000001,-7,-1,-3,-7,0,-3,-4,0,0.0
0.7000000000000001,1,-2,-2,0,-5,-2,-4,-2,0.0
0.705,-4,2,0,2,-1,4,-2,4,0.0
0.71,-4,1,2,-2,2,-5,0,-3,0.0
0.715,1,2,-4,0,-3,0,2,-4,0.0
0.72,0,-2,2,3,1,5,-1,3,0.0
0.725,1,0,-2,-4,-6,-1,-1,-5,0.0
0.73,2,-1,2,1,-1,0,-4,-2,0.0
0.735,-2,-3,2,-4,-7,-3,-1,3,0.0
0.74,0,-4,-5,2,2,-1,0,-3,0.0
0.745,-2,-5,0,-3,-1,-1,-1,-3,0.0
0.75,-1,-4,0,-7,-7,-1,2,0,0.0
0.755,-2,-6,-4,-1,1,-2,-1,3,0.0
0.76,0,-1,-1,-1,-1,-1,-1,-2,0.0
0.765,-5,-2,3,0,-4,3,-3,-4,0.0
0.77,3,2,-2,1,-2,1,-3,-2,0.0
0.775,3,3,1,-3,-8,-2,-1,-5,0.0
0.78,-1,2,3,-4,-1,-5,-4,0,0.0
0.785,0,-1,-1,-3,1,2,-3,-3,0.0
0.79,-2,1,2,5,4,-3,-1,-3,0.0
0.795,-1,-1,1,2,1,4,1,-2,0.0
0.8,-4,-1,-1,0,1,0,4,4,0.0
0.805,-2,0,0,-3,-2,-1,0,0,0.0
0.81,3,1,-1,-2,-2,2,-1,-1,0.0
0.8150000000000001,0,-1,1,-3,-5,-4,-1,-4,0.0
0.8200000000000001,-6,-6,-5,-5,-2,-5,-1,-2,0.0
0.8250000000000001,0,-5,-2,-1,0,-4,2,1,0.0
0.8300000000000001,-4,-2,-1,1,3,1,-1,1,0.0
0.835,3,-3,-3,1,2,-2,-1,-1,0.0
0.84,-2,-1,-1,-2,1,1,-1,-4,0.0
0.845,1,-2,-3,-6,-9,1,0,-1,0.0
0.85,-3,0,-2,1,-2,-3,-1,1,0.0
0.855,0,-7,0,-3,-4,-3,-1,1,0.0
0.86,0,4,-2,5,4,0,-3,1,0.0
0.865,2,0,-2,7,8,-2,-3,-3,0.0
0.87,-3,-5,-1,-3,-3,1,0,0,0.0
0.875,-1,-4,-2,-4,0,0,-1,-2,0.0
0.88,1,3,-1,0,-4,0,-1,0,0.0
0.885,-3,1,2,-2,-5,-2,-2,-2,0.0
0.89,0,-3,-4,1,-3,-4,1,0,0.0
0.895,1,5,-2,-4,-6,-3,-2,-5,0.0
0.9,-4,-4,-2,-4,-4,-2,-1,-6,0.0
0.905,-2,2,0,-1,7,0,-3,-1,0.0
0.91,0,1,-3,-5,-3,-2,-3,-1,0.0
0.915,-6,-2,-1,3,5,0,1,1,0.0
0.92,5,1,4,-3,-1,-2,-3,1,0.0
0.925,-1,2,-2,-5,-6,-4,0,-2,0.0
0.93,1,-2,-5,-1,-4,-5,0,-2,0.0
0.935,2,-1,-2,-2,-8,-5,-3,2,0.0
0.9400000000000001,2,1,-3,-3,-2,-1,0,-1,0.0
0.9450000000000001,-2,-2,2,0,-1,0,-2,0,0.0
0.9500000000000001,-1,0,0,-4,5,-1,-3,-4,0.0
0.9550000000000001,-3,1,-2,-2,4,1,3,1,0.0
0.96,-3,2,0,-6,-4,-7,-5,0,0.0
0.965,-2,-2,-2,-1,-2,3,-3,0,0.0
0.97,0,-5,-1,-1,-5,0,3,-1,0.0
