timestamp,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,noise
0.005,0,-2,-20,-5,6,-4,-3,0,0.0
0.01,5,1,4,-1,5,-4,-7,4,0.0
0.015,-2,-2,-2,-1,-6,0,-1,-3,0.0
0.02,-8,0,13,3,-5,5,3,-3,0.0
0.025,0,-2,-13,-1,1,-1,-2,0,0.0
0.03,1,1,-4,-1,5,-3,-2,3,0.0
0.035,1,-5,-7,-3,-1,-2,-1,-1,0.0
0.04,-4,-1,12,-1,-8,0,3,-6,0.0
0.045,-2,2,8,2,-2,-1,1,-1,0.0
0.05,3,-1,-6,-3,4,-5,-5,0,0.0
0.055,0,-2,-9,-2,-4,-1,-2,-1,0.0
0.06,-5,3,2,1,-3,3,1,-3,0.0
0.065,-1,-1,4,0,-2,-1,-2,0,0.0
0.07,5,-4,-7,0,1,-5,-1,-1,0.0
0.075,-1,1,12,0,1,-2,0,-1,0.0
0.08,-4,1,2,1,-6,0,0,-1,0.0
0.085,0,-1,-2,-4,4,-1,-3,1,0.0
0.09,1,0,3,2,1,-3,-3,-1,0.0
0.095,-2,-2,0,1,0,0,-1,-1,0.0
0.1,-3,-3,-1,-2,-4,1,0,-3,0.0
0.105,0,0,5,-1,-2,-2,-2,-1,0.0
0.11,-1,-6,-13,-1,2,-1,-1,1,0.0
0.115,0,-2,0,0,0,-2,0,-2,0.0
0.12,1,-2,6,-1,-2,0,0,-1,0.0
0.125,4,4,-22,-4,5,-3,-5,1,0.0
0.13,-2,-1,-4,-3,1,-1,-7,2,0.0
0.135,-1,-1,1,-2,-6,1,-1,-4,0.0
0.14,-6,-2,-7,-1,-5,2,2,-5,0.0
0.145,1,3,6,-1,3,-1,1,1,0.0
0.15,3,-5,-5,-1,2,-5,-4,1,0.0
0.155,-3,3,-3,-1,-4,-1,-4,-1,0.0
0.16,-4,0,16,2,-7,2,1,-2,0.0
0.165,-3,-8,-18,-2,0,-3,-1,-2,0.0
0.17,2,1,1,0,3,-5,0,2,0.0
0.17500000000000002,-1,1,6,2,-2,0,-1,-2,0.0
0.18,-4,3,3,-5,-5,0,2,-6,0.0
0.185,-3,-3,2,-1,-1,0,-2,-1,0.0
0.19,3,0,-9,-3,4,-5,-6,0,0.0
0.195,-2,-4,-4,2,-1,0,0,-1,0.0
0.2,-3,3,-5,-3,-5,1,1,-3,0.0
0.20500000000000002,1,-4,1,-1,2,-2,0,-1,0.0
0.21,1,-5,-1,-3,1,-2,-4,0,0.0
