time,channel_1,channel_2,channel_3,channel_4,channel_5,channel_6,channel_7,channel_8,orientation_x,orientation_y,orientation_z,orientation_w,acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z
0.005,-2.0,-2.0,-4.0,-5.0,0.0,-2.0,-2.0,-2.0,-0.06219482421875,0.0125732421875,-0.9970703125,-0.04327392578125,0.13134765625,-0.02392578125,0.99609375,-0.1875,-0.0625,1.0
0.01,5.0,17.0,3.0,-1.0,2.0,1.0,2.0,-2.0,-0.06182861328125,0.01220703125,-0.99713134765625,-0.0428466796875,0.13037109375,-0.02001953125,0.98828125,-1.5625,1.0,-0.125
0.015,-5.0,-17.0,-2.0,-4.0,-4.0,-4.0,-3.0,-3.0,-0.06158447265625,0.01214599609375,-0.99713134765625,-0.04302978515625,0.12890625,-0.0185546875,0.9921875,0.125,0.875,-0.1875
0.02,-2.0,-12.0,-3.0,0.0,-1.0,0.0,-1.0,-14.0,-0.0604248046875,0.01239013671875,-0.9971923828125,-0.0435791015625,0.125,-0.013671875,0.99169921875,-0.0625,1.1875,-0.4375
0.025,1.0,2.0,-1.0,1.0,-3.0,-2.0,2.0,5.0,-0.05926513671875,0.0115966796875,-0.99725341796875,-0.04376220703125,0.125,-0.02099609375,0.9873046875,0.5,1.375,-0.625
0.03,-3.0,13.0,8.0,4.0,-1.0,-2.0,-4.0,-14.0,-0.0584716796875,0.00982666015625,-0.99737548828125,-0.04296875,0.11328125,-0.0166015625,0.9921875,5.4375,0.0,0.6875
0.035,-14.0,-5.0,4.0,4.0,-2.0,2.0,5.0,-9.0,-0.05908203125,0.005859375,-0.997314453125,-0.04425048828125,0.13037109375,0.02587890625,0.99267578125,3.1875,-0.8125,-1.75
0.04,7.0,-6.0,-4.0,-2.0,-1.0,12.0,18.0,-10.0,-0.058349609375,0.0025634765625,-0.997314453125,-0.04498291015625,0.13037109375,-0.01171875,0.990234375,8.6875,1.0625,0.625
0.045,-8.0,17.0,17.0,7.0,0.0,0.0,7.0,-17.0,-0.056640625,-0.007080078125,-0.99737548828125,-0.04571533203125,0.1298828125,0.00244140625,0.998046875,9.5625,4.6875,-0.0625
0.05,-27.0,-69.0,7.0,2.0,-1.0,-32.0,-57.0,10.0,-0.0496826171875,-0.00537109375,-0.9979248046875,-0.04193115234375,0.10498046875,0.00341796875,0.9765625,-17.9375,6.8125,5.5
0.055,-15.0,1.0,2.0,-5.0,-20.0,8.0,50.0,-88.0,-0.044921875,0.00103759765625,-0.99822998046875,-0.039306640625,0.0927734375,0.01318359375,0.99951171875,2.4375,2.75,0.625
0.06,-22.0,-85.0,-45.0,-32.0,-19.0,-48.0,7.0,-80.0,-0.0447998046875,0.00030517578125,-0.99822998046875,-0.0394287109375,0.06591796875,-0.0439453125,0.98193359375,0.0,0.0625,2.0
0.065,-8.0,-80.0,-58.0,-49.0,-14.0,-29.0,-88.0,44.0,-0.047119140625,-0.00299072265625,-0.99798583984375,-0.0430908203125,0.1005859375,0.0390625,1.0,-1.1875,-1.3125,-5.875
0.07,23.0,-10.0,106.0,77.0,77.0,86.0,92.0,105.0,-0.04656982421875,-0.00518798828125,-0.99786376953125,-0.04669189453125,0.0966796875,-0.044921875,0.9921875,7.875,2.375,-0.4375
0.075,-12.0,-10.0,-28.0,-8.0,27.0,27.0,25.0,17.0,-0.0467529296875,-0.0194091796875,-0.99749755859375,-0.049560546875,0.09716796875,0.203125,1.0244140625,19.5625,-4.25,-6.75
0.08,-12.0,-18.0,-13.0,-6.0,-7.0,11.0,22.0,0.0,-0.05322265625,-0.02459716796875,-0.99676513671875,-0.055908203125,0.1162109375,0.12158203125,0.9853515625,-7.625,-0.25,-8.4375
0.085,-8.0,-7.0,12.0,5.0,21.0,18.0,1.0,3.0,-0.05450439453125,-0.02532958984375,-0.99664306640625,-0.056640625,0.12109375,0.04150390625,0.98876953125,-5.5,-1.1875,2.1875
0.09,-11.0,-23.0,-10.0,-7.0,2.0,-3.0,-4.0,-10.0,-0.0517578125,-0.014404296875,-0.9970703125,-0.05462646484375,0.09375,-0.00439453125,1.02001953125,-24.0,2.375,4.8125
0.095,3.0,24.0,9.0,-7.0,-7.0,2.0,-4.0,-3.0,-0.05084228515625,-0.00653076171875,-0.997314453125,-0.05242919921875,0.1171875,-0.0107421875,0.99072265625,-16.375,0.75,4.9375
0.1,2.0,0.0,-7.0,-3.0,-3.0,-2.0,0.0,3.0,-0.0496826171875,-0.00433349609375,-0.99749755859375,-0.05035400390625,0.09716796875,0.02294921875,0.99609375,-5.3125,0.625,2.8125
0.105,8.0,-24.0,-11.0,-7.0,-8.0,-7.0,-4.0,1.0,-0.0528564453125,-0.00616455078125,-0.99737548828125,-0.04937744140625,0.10400390625,0.0517578125,1.00341796875,-1.3125,-3.8125,1.0625
0.11,10.0,49.0,17.0,0.0,-3.0,-1.0,-2.0,-1.0,-0.05670166015625,-0.00347900390625,-0.9971923828125,-0.050048828125,0.11767578125,0.01220703125,0.99169921875,-3.5625,-2.875,1.0
0.115,-2.0,-14.0,-9.0,-1.0,5.0,-2.0,0.0,-2.0,-0.0594482421875,-0.00201416015625,-0.9970703125,-0.04937744140625,0.1240234375,-0.02294921875,0.98583984375,-1.25,-2.75,0.0
0.12,1.0,1.0,-4.0,-2.0,-5.0,-4.0,0.0,-3.0,-0.06005859375,-0.00030517578125,-0.9969482421875,-0.04998779296875,0.12109375,-0.01123046875,0.99267578125,-0.8125,-1.6875,1.5625
0.125,2.0,-17.0,-6.0,1.0,2.0,-1.0,5.0,-2.0,-0.06134033203125,-0.0001220703125,-0.99688720703125,-0.05023193359375,0.125,0.0078125,0.9912109375,-0.6875,0.3125,-0.8125
0.13,4.0,12.0,1.0,3.0,8.0,4.0,2.0,3.0,-0.06134033203125,0.00048828125,-0.996826171875,-0.05126953125,0.12939453125,0.00146484375,0.98681640625,0.0625,-0.125,-0.6875
0.135,1.0,16.0,5.0,0.0,4.0,1.0,-1.0,-2.0,-0.061279296875,0.000244140625,-0.996826171875,-0.05157470703125,0.12158203125,0.00634765625,0.998046875,0.9375,0.6875,-1.0625
0.14,4.0,1.0,8.0,5.0,2.0,0.0,-1.0,1.0,-0.060791015625,0.00152587890625,-0.9969482421875,-0.05010986328125,0.11572265625,0.00732421875,0.9775390625,0.125,1.1875,2.625
0.145,-5.0,-53.0,18.0,1.0,-18.0,-11.0,4.0,12.0,-0.05853271484375,0.00115966796875,-0.9971923828125,-0.04742431640625,0.12841796875,0.01220703125,1.00048828125,-10.1875,2.0625,0.625
0.15,-10.0,6.0,10.0,4.0,5.0,7.0,0.0,-18.0,-0.05792236328125,-0.00482177734375,-0.9971923828125,-0.04754638671875,0.115234375,0.03369140625,0.99267578125,4.6875,0.8125,0.9375
0.155,-26.0,-37.0,-22.0,-5.0,-15.0,-19.0,-12.0,-36.0,-0.0582275390625,-0.0107421875,-0.99713134765625,-0.04791259765625,0.1357421875,0.07958984375,0.98291015625,3.5,2.1875,-5.1875
0.16,-1.0,-25.0,-2.0,-2.0,10.0,2.0,-17.0,-18.0,-0.05657958984375,-0.01617431640625,-0.99713134765625,-0.04815673828125,0.125,0.02685546875,0.9853515625,8.75,3.5,1.0625
0.165,-6.0,40.0,5.0,3.0,-5.0,6.0,-2.0,-17.0,-0.0501708984375,-0.0159912109375,-0.99755859375,-0.04681396484375,0.10302734375,0.03466796875,0.98876953125,-7.9375,9.3125,2.9375
0.17,-11.0,-113.0,-30.0,-27.0,-45.0,-128.0,-128.0,0.0,-0.0445556640625,-0.006103515625,-0.998046875,-0.04376220703125,0.09716796875,0.01416015625,0.98779296875,-3.8125,5.875,0.6875
0.175,-51.0,33.0,58.0,11.0,-2.0,-18.0,-35.0,-77.0,-0.04150390625,-0.00360107421875,-0.99822998046875,-0.0435791015625,0.07861328125,0.0390625,0.9912109375,0.875,-1.0625,-0.125
0.18,16.0,-32.0,108.0,50.0,9.0,112.0,93.0,-50.0,-0.044189453125,-0.007080078125,-0.99798583984375,-0.0460205078125,0.0986328125,-0.02001953125,0.98828125,3.8125,-1.875,-0.9375
0.185,-27.0,-14.0,-8.0,-4.0,6.0,-42.0,-12.0,2.0,-0.044921875,-0.0203857421875,-0.9976806640625,-0.0482177734375,0.0625,0.111328125,0.99267578125,16.4375,-4.5,-5.4375
0.19,0.0,34.0,0.0,-5.0,-3.0,-1.0,0.0,-4.0,-0.051513671875,-0.03240966796875,-0.99652099609375,-0.05718994140625,0.107421875,0.1123046875,0.98974609375,-3.75,-3.3125,-7.5
0.195,6.0,38.0,15.0,5.0,-7.0,-8.0,-2.0,-6.0,-0.05078125,-0.0240478515625,-0.99688720703125,-0.05609130859375,0.091796875,0.013671875,0.9697265625,-7.5,3.3125,4.1875
0.2,-1.0,7.0,-6.0,-1.0,-3.0,-1.0,-1.0,-2.0,-0.04876708984375,-0.01055908203125,-0.99737548828125,-0.053466796875,0.1103515625,0.00537109375,0.984375,-9.125,0.9375,4.3125
0.205,15.0,21.0,0.0,0.0,-6.0,-4.0,11.0,1.0,-0.04962158203125,-0.0062255859375,-0.99755859375,-0.04998779296875,0.10791015625,0.0341796875,0.99609375,-0.6875,-0.5625,1.25
0.21,-26.0,-41.0,-34.0,-10.0,-4.0,-11.0,-1.0,0.0,-0.05230712890625,-0.005615234375,-0.99749755859375,-0.04833984375,0.1123046875,0.02734375,0.9990234375,-3.3125,-2.6875,-0.8125
0.215,5.0,-5.0,5.0,2.0,0.0,2.0,-2.0,4.0,-0.05511474609375,-0.00836181640625,-0.997314453125,-0.04815673828125,0.103515625,0.01904296875,0.9775390625,6.8125,-2.0625,1.0
0.22,4.0,42.0,5.0,-1.0,-9.0,-5.0,-1.0,-4.0,-0.05706787109375,-0.00750732421875,-0.9971923828125,-0.0489501953125,0.1162109375,-0.02880859375,0.9833984375,-1.9375,-2.75,2.3125
0.225,2.0,-5.0,-6.0,-5.0,-2.0,1.0,-4.0,-2.0,-0.05792236328125,-0.0079345703125,-0.9970703125,-0.04962158203125,0.11474609375,0.01953125,0.990234375,-4.0625,0.375,-0.25
0.23,-1.0,-45.0,-6.0,-2.0,-1.0,3.0,-2.0,2.0,-0.0584716796875,-0.0059814453125,-0.9970703125,-0.04925537109375,0.12548828125,-0.00048828125,0.990234375,1.4375,-0.5,0.5
0.235,-7.0,-17.0,-5.0,0.0,4.0,5.0,2.0,-2.0,-0.0582275390625,-0.0048828125,-0.9970703125,-0.04986572265625,0.11474609375,0.017578125,0.998046875,-0.125,0.5625,-1.3125
0.24,10.0,19.0,-2.0,0.0,2.0,1.0,-3.0,-3.0,-0.05859375,-0.00408935546875,-0.9970703125,-0.04986572265625,0.11962890625,0.0166015625,0.99169921875,-0.1875,0.25,0.0625
0.245,-3.0,-1.0,-5.0,-3.0,-4.0,0.0,9.0,13.0,-0.05780029296875,-0.00457763671875,-0.99713134765625,-0.04888916015625,0.119140625,0.0166015625,0.986328125,1.125,1.4375,2.0
0.25,-6.0,-13.0,-3.0,0.0,-5.0,0.0,8.0,15.0,-0.056640625,-0.00482177734375,-0.997314453125,-0.04705810546875,0.10546875,0.0205078125,0.99267578125,5.875,1.6875,3.125
0.255,4.0,0.0,-3.0,2.0,3.0,-2.0,-3.0,-8.0,-0.05548095703125,-0.00714111328125,-0.99737548828125,-0.04705810546875,0.11083984375,0.033203125,0.99755859375,8.5625,2.375,-0.9375
0.26,-3.0,10.0,10.0,5.0,-1.0,0.0,0.0,-14.0,-0.0543212890625,-0.01092529296875,-0.99737548828125,-0.04705810546875,0.1123046875,0.0654296875,0.984375,7.0,1.4375,-3.375
0.265,14.0,8.0,12.0,8.0,2.0,3.0,-10.0,14.0,-0.05419921875,-0.015625,-0.997314453125,-0.04742431640625,0.125,0.04931640625,0.9775390625,4.1875,1.0,-3.0
0.27,-27.0,9.0,10.0,-5.0,3.0,8.0,-4.0,-12.0,-0.05328369140625,-0.0201416015625,-0.9971923828125,-0.048828125,0.1044921875,0.1064453125,0.9873046875,0.1875,3.125,-4.6875
0.275,-4.0,-4.0,-25.0,-12.0,-2.0,2.0,-14.0,-77.0,-0.04937744140625,-0.02197265625,-0.997314453125,-0.04949951171875,0.1064453125,0.064453125,0.986328125,3.875,5.0,3.9375
