time,channel_1,channel_2,channel_3,channel_4,channel_5,channel_6,channel_7,channel_8,orientation_x,orientation_y,orientation_z,orientation_w,acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z
0.005,-4.0,-17.0,-11.0,-4.0,-3.0,-4.0,-3.0,-3.0,0.02093505859375,-0.03009033203125,0.9921875,-0.118896484375,0.0400390625,-0.0595703125,1.0,-1.0,0.125,0.1875
0.01,1.0,-2.0,-2.0,0.0,1.0,-2.0,0.0,2.0,0.0208740234375,-0.03057861328125,0.9921875,-0.11883544921875,0.03466796875,-0.06884765625,1.00439453125,-1.875,0.5625,-0.125
0.015,-3.0,3.0,-5.0,-5.0,-4.0,-1.0,-1.0,3.0,0.0203857421875,-0.03094482421875,0.9921875,-0.1190185546875,0.0361328125,-0.06591796875,0.99951171875,-0.3125,1.75,1.125
0.02,2.0,1.0,1.0,-2.0,-1.0,-1.0,0.0,6.0,0.0196533203125,-0.0308837890625,0.99212646484375,-0.11968994140625,0.0322265625,-0.06982421875,1.00390625,-0.6875,1.375,1.4375
0.025,-1.0,3.0,-6.0,-2.0,-1.0,1.0,1.0,-1.0,0.017822265625,-0.03204345703125,0.99200439453125,-0.12054443359375,0.02734375,-0.06591796875,0.9931640625,-1.0,2.0625,0.375
0.03,-1.0,-4.0,-5.0,0.0,2.0,-1.0,-4.0,-6.0,0.01641845703125,-0.03253173828125,0.99200439453125,-0.1204833984375,0.03173828125,-0.07470703125,1.0029296875,-1.3125,1.1875,1.5
0.035,1.0,-2.0,4.0,4.0,-2.0,-1.0,0.0,-6.0,0.0145263671875,-0.03228759765625,0.99188232421875,-0.12176513671875,0.0224609375,-0.048828125,1.0048828125,-1.1875,2.3125,1.625
0.04,6.0,7.0,-11.0,-3.0,8.0,6.0,-6.0,24.0,0.01141357421875,-0.02484130859375,0.9920654296875,-0.1224365234375,0.00732421875,-0.06884765625,1.00244140625,14.3125,2.5625,1.4375
0.045,1.0,-10.0,-15.0,-7.0,-7.0,-18.0,-35.0,-20.0,0.00421142578125,-0.0123291015625,0.99224853515625,-0.123291015625,0.01513671875,-0.0224609375,0.99267578125,11.5625,6.5625,-0.4375
0.05,9.0,32.0,14.0,-1.0,1.0,-9.0,-18.0,25.0,-0.00067138671875,-0.00811767578125,0.992431640625,-0.1221923828125,0.02099609375,-0.02001953125,1.005859375,10.375,3.5,-0.5
