time,channel_1,channel_2,channel_3,channel_4,channel_5,channel_6,channel_7,channel_8,orientation_x,orientation_y,orientation_z,orientation_w,acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z
0.005,4.0,13.0,-2.0,-3.0,-1.0,1.0,-2.0,4.0,0.003173828125,-0.02142333984375,0.985595703125,-0.16754150390625,0.0048828125,-0.044921875,1.0029296875,-0.75,0.5,1.0625
0.01,-1.0,-20.0,-1.0,1.0,2.0,2.0,-1.0,0.0,0.0037841796875,-0.0224609375,0.9854736328125,-0.168212890625,0.0078125,-0.056640625,0.9931640625,-1.25,0.125,0.9375
0.015,-3.0,-8.0,-11.0,-3.0,-4.0,-2.0,-3.0,-2.0,0.00433349609375,-0.02398681640625,0.9853515625,-0.1685791015625,0.01220703125,-0.0498046875,1.0087890625,-1.625,0.0,0.9375
0.02,0.0,12.0,7.0,2.0,1.0,0.0,-3.0,-7.0,0.0040283203125,-0.02313232421875,0.9852294921875,-0.16961669921875,-0.00048828125,-0.05517578125,1.00634765625,0.4375,0.375,0.625
0.025,2.0,12.0,3.0,-2.0,-3.0,-2.0,-1.0,5.0,0.0037841796875,-0.02215576171875,0.98529052734375,-0.16937255859375,0.0078125,-0.03955078125,1.00048828125,1.75,-0.625,-0.75
0.03,1.0,-23.0,-16.0,-5.0,-1.0,-2.0,-2.0,-1.0,0.0037841796875,-0.02130126953125,0.98529052734375,-0.16925048828125,0.0009765625,-0.02978515625,1.00341796875,0.8125,0.375,0.375
0.035,4.0,-12.0,-13.0,-2.0,4.0,0.0,-17.0,-2.0,0.00311279296875,-0.01934814453125,0.9854736328125,-0.16851806640625,0.00537109375,-0.0537109375,1.01025390625,1.6875,1.0625,0.3125
0.04,-10.0,-14.0,-9.0,-4.0,1.0,-1.0,5.0,4.0,0.00164794921875,-0.01824951171875,0.9854736328125,-0.168701171875,0.001953125,-0.05908203125,0.9970703125,2.1875,2.25,1.1875
0.045,10.0,27.0,8.0,3.0,-2.0,-6.0,-15.0,-18.0,0.00018310546875,-0.0147705078125,0.98553466796875,-0.16876220703125,0.0078125,-0.04931640625,1.0,7.0625,0.4375,0.6875
0.05,-39.0,10.0,-5.0,-4.0,-19.0,-28.0,2.0,19.0,-0.00164794921875,-0.0072021484375,0.98577880859375,-0.16790771484375,0.01806640625,-0.03125,1.0048828125,-6.625,1.5,0.875
