timestamp,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,noise
0.005,-4,-8,-12,-2,-1,-3,-3,-3,0.0
0.01,-3,-2,-3,-1,1,-2,-1,-3,0.0
0.015,-1,-8,-8,1,-3,-1,0,1,0.0
0.02,0,4,25,4,2,0,0,0,0.0
0.025,1,-5,-24,-1,1,-2,0,0,0.0
0.03,-2,3,-10,-6,-3,0,-2,-2,0.0
0.035,-1,1,3,-2,-4,-1,-2,1,0.0
0.04,-3,-3,-6,0,-1,0,-1,0,0.0
0.045,-1,-1,10,4,0,0,-1,-1,0.0
0.05,0,-5,-3,-1,1,-3,-2,-2,0.0
0.055,0,7,21,2,1,0,0,-1,0.0
0.06,-2,-12,-71,-14,-6,-3,-1,-2,0.0
0.065,0,6,1,0,0,-2,-1,-3,0.0
0.07,-5,-18,3,0,1,-1,-2,-2,0.0
0.075,-1,3,13,1,-2,-1,-1,-1,0.0
0.08,3,7,15,4,0,-2,-1,1,0.0
0.085,0,0,10,-1,0,0,-2,-1,0.0
0.09,-2,-3,-28,-5,-4,-1,-2,0,0.0
0.095,0,1,-2,0,-2,-1,0,-1,0.0
0.1,-2,-3,15,0,-1,0,0,1,0.0
0.105,2,1,-11,-2,-3,-2,0,0,0.0
0.11,0,-1,16,-3,-4,0,0,-1,0.0
0.115,-4,-4,-9,5,3,2,-1,-2,0.0
0.12,-1,0,7,-2,0,0,0,-4,0.0
0.125,0,2,-3,-2,0,-1,-1,0,0.0
0.13,-1,-1,3,-5,-4,-3,-2,-1,0.0
0.135,-2,0,1,-4,-4,1,-1,-1,0.0
0.14,-2,-1,-4,-1,0,-1,0,-1,0.0
0.145,-1,0,-3,1,1,0,-1,-1,0.0
0.15,-2,-3,-7,-3,-2,-1,-2,-2,0.0
0.155,0,-3,-15,-3,-2,0,-1,-2,0.0
0.16,-1,-1,5,0,-1,-2,0,-1,0.0
0.165,1,0,-3,0,0,-1,-1,-1,0.0
0.17,-2,1,12,-1,-1,-1,-1,-1,0.0
0.17500000000000002,-3,0,0,-2,-3,-3,-1,0,0.0
0.18,-1,-1,-4,1,-2,-1,-2,-1,0.0
0.185,-1,-3,2,-1,0,-2,-1,-1,0.0
0.19,1,3,2,1,-1,0,0,0,0.0
0.195,-1,-3,-4,-3,-2,-1,0,-2,0.0
0.2,-3,-4,-7,-4,1,0,-2,-1,0.0
0.20500000000000002,-1,0,2,1,-1,-1,-2,-1,0.0
