time,channel_1,channel_2,channel_3,channel_4,channel_5,channel_6,channel_7,channel_8,orientation_x,orientation_y,orientation_z,orientation_w,acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z
0.005,0.0,-7.0,-6.0,0.0,-6.0,-3.0,0.0,-1.0,0.01507568359375,-0.03997802734375,0.9771728515625,-0.2078857421875,0.01220703125,-0.09033203125,0.9931640625,-0.75,1.375,0.3125
0.01,-1.0,-2.0,-2.0,-3.0,-1.0,-5.0,-7.0,-1.0,0.01495361328125,-0.0401611328125,0.9771728515625,-0.20782470703125,0.01806640625,-0.0888671875,0.9931640625,0.3125,0.5625,-0.5
0.015,2.0,-5.0,-2.0,-1.0,-2.0,3.0,-3.0,0.0,0.01513671875,-0.041015625,0.97735595703125,-0.20703125,0.0244140625,-0.087890625,1.00048828125,-0.25,-0.1875,-0.9375
0.02,-2.0,-2.0,0.0,1.0,-1.0,0.0,-1.0,-2.0,0.015869140625,-0.04052734375,0.97723388671875,-0.20745849609375,0.01904296875,-0.08154296875,0.998046875,-1.0625,-0.75,1.0625
0.025,-1.0,-7.0,-6.0,-3.0,-4.0,-5.0,0.0,-4.0,0.01617431640625,-0.04083251953125,0.9771728515625,-0.20782470703125,0.017578125,-0.08203125,1.0,-0.75,0.4375,-0.375
0.03,0.0,-4.0,-4.0,-1.0,-4.0,1.0,0.0,0.0,0.01593017578125,-0.0418701171875,0.9771728515625,-0.2073974609375,0.01123046875,-0.08349609375,1.001953125,0.125,0.75,-0.5
0.035,0.0,-9.0,-12.0,-1.0,0.0,1.0,0.0,-5.0,0.0145263671875,-0.0413818359375,0.9774169921875,-0.20654296875,0.0029296875,-0.076171875,1.0048828125,0.1875,1.5,-1.75
0.04,-3.0,1.0,1.0,2.0,0.0,-1.0,-1.0,0.0,0.0118408203125,-0.040771484375,0.97808837890625,-0.20355224609375,-0.01611328125,-0.0908203125,1.01513671875,2.8125,1.875,-2.625
0.045,3.0,35.0,19.0,5.0,9.0,4.0,0.0,0.0,0.0081787109375,-0.04119873046875,0.97686767578125,-0.20953369140625,-0.03369140625,-0.09912109375,1.001953125,1.5,1.5625,12.5
0.05,-4.0,87.0,11.0,-2.0,-3.0,-3.0,-3.0,-3.0,0.0023193359375,-0.04254150390625,0.97528076171875,-0.216796875,-0.00244140625,-0.03955078125,0.9921875,-9.75,7.4375,7.9375
0.055,10.0,-6.0,-33.0,-4.0,2.0,2.0,2.0,8.0,0.00030517578125,-0.05157470703125,0.97467041015625,-0.2174072265625,0.06201171875,-0.0634765625,1.02685546875,-5.875,6.8125,-12.1875
0.06,-27.0,-47.0,-40.0,32.0,13.0,3.0,6.0,7.0,-0.00579833984375,-0.07171630859375,0.9765625,-0.20257568359375,-0.048828125,-0.13720703125,1.0009765625,-17.875,11.9375,-21.8125
0.065,52.0,127.0,52.0,-15.0,-9.0,-12.0,-6.0,-1.0,-0.00732421875,-0.10565185546875,0.97784423828125,-0.1805419921875,-0.03515625,-0.19921875,0.96630859375,-25.125,7.25,-17.625
0.07,-45.0,-57.0,-72.0,-20.0,-20.0,-19.0,-26.0,-26.0,-0.00726318359375,-0.12255859375,0.97882080078125,-0.16357421875,-0.0234375,-0.19384765625,0.95361328125,-15.25,5.375,-10.4375
0.075,55.0,120.0,-12.0,16.0,12.0,11.0,14.0,26.0,-0.00372314453125,-0.12530517578125,0.97955322265625,-0.1571044921875,-0.05859375,-0.25244140625,0.94921875,-4.8125,-6.125,-3.1875
0.08,1.0,-18.0,-22.0,-21.0,-7.0,-4.0,-6.0,-8.0,0.00103759765625,-0.1265869140625,0.97967529296875,-0.15533447265625,-0.0380859375,-0.31494140625,0.99267578125,5.625,-3.9375,-1.4375
0.085,6.0,44.0,-22.0,-10.0,-6.0,-3.0,-4.0,1.0,0.00091552734375,-0.12335205078125,0.97967529296875,-0.15814208984375,-0.04052734375,-0.23046875,0.9892578125,5.375,-0.8125,0.75
