X: 0, Y: 0, Z: 0
X: 7.6443e-06, Y: -7.8781e-06, Z: 4.95354e-05
X: 3.12542e-05, Y: -2.34944e-05, Z: 0.0001979476
X: 7.11939e-05, Y: -3.85819e-05, Z: 0.0004450183
X: 0.0001270548, Y: -5.30382e-05, Z: 0.0007908433
X: 0.0001991998, Y: -6.76531e-05, Z: 0.0012353722
X: 0.0002879923, Y: -8.0149e-05, Z: 0.0017780245
X: 0.0003930681, Y: -8.9508e-05, Z: 0.0024190443
X: 0.000513868, Y: -9.78279e-05, Z: 0.0031594746
X: 0.0008009675, Y: -0.0001081632, Z: 0.0049389705
X: 0.0009648088, Y: -0.0001122092, Z: 0.0059789604
X: 0.0011412966, Y: -0.000114234, Z: 0.0071193646
X: 0.0013300693, Y: -0.0001138453, Z: 0.0083598924
X: 0.0015319728, Y: -0.0001115165, Z: 0.0097005859
X: 0.0017589386, Y: -0.0001049184, Z: 0.0111221101
X: 0.0020141343, Y: -9.85666e-05, Z: 0.0126282148
X: 0.0022842386, Y: -0.0001036512, Z: 0.0142375306
X: 0.0025598732, Y: -0.0001278709, Z: 0.0159474932
X: 0.0028228547, Y: -0.000177536, Z: 0.0177645743
X: 0.0030835841, Y: -0.0002482745, Z: 0.0196866125
X: 0.0033633051, Y: -0.0003306504, Z: 0.0217055822
X: 0.0036581742, Y: -0.0004253613, Z: 0.0238214798
X: 0.0039672035, Y: -0.000534611, Z: 0.0260353011
X: 0.0042894803, Y: -0.0006575227, Z: 0.0283477792
X: 0.0046397899, Y: -0.0007788191, Z: 0.0307595616
X: 0.0049920629, Y: -0.0009183918, Z: 0.0332743372
X: 0.0053406614, Y: -0.0010879249, Z: 0.0358933666
X: 0.0057136554, Y: -0.0012634438, Z: 0.0386132822
X: 0.0061039041, Y: -0.0014404066, Z: 0.0414324944
X: 0.0065088995, Y: -0.0016090363, Z: 0.0443506102
X: 0.0069262854, Y: -0.0017636744, Z: 0.0473677475
X: 0.0073568283, Y: -0.0019041804, Z: 0.0504835656
X: 0.0078007476, Y: -0.0020313348, Z: 0.0536975314
X: 0.0082576575, Y: -0.002146621, Z: 0.0570098611
X: 0.0087277242, Y: -0.0022507698, Z: 0.0604207261
X: 0.0092105338, Y: -0.0023433946, Z: 0.0639302988
X: 0.0097053593, Y: -0.002423961, Z: 0.0675391821
X: 0.0102125129, Y: -0.0024924707, Z: 0.0712465304
X: 0.0107320654, Y: -0.0025498728, Z: 0.0750522464
X: 0.011263241, Y: -0.0025973326, Z: 0.0789571034
X: 0.0118057472, Y: -0.0026345628, Z: 0.082960765
X: 0.0123599228, Y: -0.0026612452, Z: 0.0870631093
X: 0.0129259626, Y: -0.0026768447, Z: 0.0912642571
X: 0.0135037944, Y: -0.0026810934, Z: 0.0955643063
X: 0.014093371, Y: -0.0026741607, Z: 0.0999633305
X: 0.0146950323, Y: -0.0026562669, Z: 0.104461523
X: 0.0153090691, Y: -0.0026278246, Z: 0.1090586659
X: 0.0159351674, Y: -0.0025888593, Z: 0.1137546139
X: 0.0165732276, Y: -0.0025392746, Z: 0.118549534
X: 0.0172229343, Y: -0.0024791194, Z: 0.1234429906
X: 0.0178841906, Y: -0.0024086597, Z: 0.1284348867
X: 0.0185573594, Y: -0.0023277258, Z: 0.13352561
X: 0.0192424179, Y: -0.0022360029, Z: 0.1387153071
X: 0.0199393419, Y: -0.0021336594, Z: 0.144003955
X: 0.020648154, Y: -0.0020207674, Z: 0.1493916515
X: 0.0213685151, Y: -0.0018969888, Z: 0.1548786871
X: 0.0221003758, Y: -0.0017624924, Z: 0.1604649413
X: 0.0228438088, Y: -0.0016174472, Z: 0.1661502451
X: 0.023598918, Y: -0.0014614859, Z: 0.1719348974
X: 0.0243673564, Y: -0.0012814314, Z: 0.1778271414
X: 0.0251443719, Y: -0.001077029, Z: 0.1838349238
